Player,Stat,25th Percentile,50th Percentile (Median),75th Percentile
Sean Kuraly,Points,15.0,19.0,21.0
Mathieu Olivier,Goals,4.0,6.0,8.0
Mathieu Olivier,Assists,7.0,9.0,11.0
Mathieu Olivier,Points,13.0,15.0,17.0
Justin Danforth,Goals,6.0,8.0,9.25
Justin Danforth,Assists,7.0,10.0,12.0
Justin Danforth,Points,15.0,18.0,20.25
Gavin Brindley,Goals,0.0,1.0,1.0
Gavin Brindley,Assists,1.0,2.0,3.0
Gavin Brindley,Points,1.0,2.0,4.0
Zach Werenski,Goals,12.0,14.0,17.0
Zach Werenski,Assists,37.0,40.5,45.0
Zach Werenski,Points,50.0,55.0,61.0
Ivan Provorov,Goals,4.75,6.0,8.0
Ivan Provorov,Assists,12.0,14.0,17.0
Ivan Provorov,Points,18.0,21.0,23.0
Jordan Harris,Goals,2.0,3.0,4.0
Jordan Harris,Assists,18.75,20.0,24.0
Jordan Harris,Points,21.0,23.0,27.0
Damon Severson,Goals,2.0,3.0,4.0
Damon Severson,Assists,17.0,21.0,24.25
Damon Severson,Points,20.0,24.0,28.0
Erik Gudbranson,Goals,0.0,1.0,2.0
Erik Gudbranson,Assists,5.0,7.0,9.0
Erik Gudbranson,Points,7.0,8.5,10.0
Jack Johnson,Goals,0.0,1.0,1.0
Jack Johnson,Assists,6.0,8.0,10.0
Jack Johnson,Points,6.0,9.0,10.0
Travis Konecny,Goals,30.0,33.5,37.0
Travis Konecny,Assists,39.0,41.0,46.0
Travis Konecny,Points,70.0,75.0,80.0
Owen Tippett,Goals,29.0,32.5,38.0
Owen Tippett,Assists,33.0,37.0,42.0
Owen Tippett,Points,65.0,70.0,77.0
Tyson Foerster,Goals,24.0,27.0,31.0
Tyson Foerster,Assists,13.0,15.0,19.0
Tyson Foerster,Points,38.75,43.0,48.0
Matvei Michkov,Goals,22.0,25.0,28.0
Matvei Michkov,Assists,23.0,26.0,31.0
Matvei Michkov,Points,48.0,51.5,57.0
Sean Couturier,Goals,7.0,9.0,11.0
Sean Couturier,Assists,25.0,28.5,33.0
Sean Couturier,Points,33.75,38.0,41.25
Joel Farabee,Goals,21.0,24.0,27.25
Joel Farabee,Assists,28.75,31.5,35.0
Joel Farabee,Points,51.0,55.0,60.0
Scott Laughton,Goals,9.0,10.0,12.0
Scott Laughton,Assists,12.0,14.0,17.0
Scott Laughton,Points,21.0,25.0,29.0
Morgan Frost,Goals,6.0,8.5,10.0
Morgan Frost,Assists,23.0,26.0,29.0
Morgan Frost,Points,30.0,35.0,38.25
Noah Cates,Goals,7.0,9.0,11.0
Noah Cates,Assists,14.0,17.0,20.0
Noah Cates,Points,23.0,26.0,29.0
Garnet Hathaway,Goals,7.0,8.0,11.0
Garnet Hathaway,Assists,7.0,10.0,11.0
Garnet Hathaway,Points,15.0,19.0,22.0
Ryan Poehling,Goals,7.0,9.0,10.25
Ryan Poehling,Assists,12.0,15.0,18.0
Ryan Poehling,Points,20.0,24.0,28.0
Bobby Brink,Goals,8.0,9.5,12.0
Bobby Brink,Assists,13.0,15.5,18.25
Bobby Brink,Points,22.0,25.0,29.0
Nicolas Deslauriers,Goals,0.0,1.0,1.0
Nicolas Deslauriers,Assists,0.0,1.0,2.0
Nicolas Deslauriers,Points,1.0,2.0,3.0
Travis Sanheim,Goals,8.75,11.0,14.0
Travis Sanheim,Assists,30.0,33.5,37.0
Travis Sanheim,Points,40.0,45.0,49.0
Cam York,Goals,5.75,7.0,10.0
Cam York,Assists,18.0,20.5,25.0
Cam York,Points,25.0,29.0,33.0
Nick Seeler,Goals,1.0,2.0,3.0
Nick Seeler,Assists,15.0,17.0,21.0
Nick Seeler,Points,16.75,20.0,23.0
Jamie Drysdale,Goals,1.0,2.0,3.0
Jamie Drysdale,Assists,11.0,14.0,16.0
Jamie Drysdale,Points,13.0,16.5,18.0
Erik Johnson,Goals,0.0,1.0,2.0
Erik Johnson,Assists,5.0,8.0,10.0
Erik Johnson,Points,7.0,9.0,11.0
Rasmus Ristolainen,Goals,0.0,0.0,1.0
Rasmus Ristolainen,Assists,6.0,8.0,10.0
Rasmus Ristolainen,Points,6.0,8.5,11.0
Sidney Crosby,Goals,35.0,40.0,44.0
Sidney Crosby,Assists,45.0,50.0,55.0
Sidney Crosby,Points,82.0,90.0,96.0
Evgeni Malkin,Goals,33.75,40.0,44.0
Evgeni Malkin,Assists,40.0,43.0,47.0
Evgeni Malkin,Points,77.0,82.0,90.0
Bryan Rust,Goals,29.0,32.0,35.0
Bryan Rust,Assists,29.0,33.0,36.0
Bryan Rust,Points,60.75,65.0,70.0
Rickard Rakell,Goals,14.0,18.0,21.0
Rickard Rakell,Assists,16.0,19.0,22.0
Rickard Rakell,Points,33.0,37.0,41.25
Michael Bunting,Goals,17.0,21.0,25.0
Michael Bunting,Assists,32.0,37.5,42.0
Michael Bunting,Points,52.0,58.0,64.0
Drew O'Connor,Goals,13.0,16.0,19.0
Drew O'Connor,Assists,21.0,24.0,27.0
Drew O'Connor,Points,36.0,40.0,45.0
Lars Eller,Goals,9.0,13.0,15.0
Lars Eller,Assists,13.0,15.0,18.0
Lars Eller,Points,25.0,28.5,32.0
Kevin Hayes,Goals,12.0,16.0,19.0
Kevin Hayes,Assists,21.0,23.0,26.0
Kevin Hayes,Points,35.0,39.0,44.0
Cody Glass,Goals,5.0,6.0,8.0
Cody Glass,Assists,11.0,14.0,16.0
Cody Glass,Points,17.0,20.0,22.0
Noel Acciari,Goals,6.0,8.0,10.0
Noel Acciari,Assists,5.0,7.0,8.25
Noel Acciari,Points,12.0,15.0,17.25
Blake Lizotte,Goals,7.0,10.0,12.0
Blake Lizotte,Assists,14.75,17.0,19.0
Blake Lizotte,Points,24.0,27.0,31.0
Anthony Beauvilier,Goals,3.75,5.0,7.0
Anthony Beauvilier,Assists,11.0,13.0,15.0
Anthony Beauvilier,Points,16.0,18.0,21.0
Jesse Puljujarvi,Goals,0.0,0.5,1.0
Jesse Puljujarvi,Assists,1.0,2.0,3.0
Jesse Puljujarvi,Points,1.0,3.0,4.0
Erik Karlsson,Goals,16.75,18.0,21.0
Erik Karlsson,Assists,43.0,49.0,54.0
Erik Karlsson,Points,61.75,68.0,74.0
Kris Letang,Goals,9.0,11.0,13.0
Kris Letang,Assists,22.0,25.0,29.0
Kris Letang,Points,31.75,36.0,40.0
Marcus Pettersson,Goals,0.0,1.0,2.0
Marcus Pettersson,Assists,21.0,25.0,28.0
Marcus Pettersson,Points,22.0,26.0,29.0
Ryan Graves,Goals,2.0,3.0,4.0
Ryan Graves,Assists,11.0,14.0,17.0
Ryan Graves,Points,14.0,17.0,20.0
Matt Grzelyck,Goals,1.0,2.0,2.0
Matt Grzelyck,Assists,12.0,14.0,16.0
Matt Grzelyck,Points,13.0,15.0,17.25
Jack Hughes,Goals,36.75,42.0,47.0
Jack Hughes,Assists,37.75,42.0,46.25
Jack Hughes,Points,77.0,83.0,89.25
Nico Hischier,Goals,27.0,32.0,36.0
Nico Hischier,Assists,47.0,52.0,56.25
Nico Hischier,Points,78.0,84.0,90.0
Jesper Bratt,Goals,31.0,36.0,40.0
Jesper Bratt,Assists,47.0,52.0,57.0
Jesper Bratt,Points,81.0,87.5,93.0
Timo Meier,Goals,27.0,31.0,34.0
Timo Meier,Assists,24.0,29.0,33.0
Timo Meier,Points,54.0,60.0,66.0
Dawson Mercer,Goals,23.0,27.0,30.0
Dawson Mercer,Assists,25.0,29.0,32.0
Dawson Mercer,Points,49.0,56.0,61.25
Erik Haula,Goals,15.75,18.5,21.25
Erik Haula,Assists,30.0,34.0,38.0
Erik Haula,Points,48.0,53.0,58.0
Ondrej Palat,Goals,12.0,14.0,17.0
Ondrej Palat,Assists,24.0,27.0,31.0
Ondrej Palat,Points,36.0,41.0,46.25
Tomas Tatar,Goals,12.0,16.0,18.0
Tomas Tatar,Assists,14.75,18.0,21.0
Tomas Tatar,Points,29.0,34.0,37.0
Stefan Noesen,Goals,4.0,6.0,7.0
Stefan Noesen,Assists,23.75,27.0,31.0
Stefan Noesen,Points,28.0,33.0,37.0
Curtis Lazar,Goals,5.0,7.0,10.0
Curtis Lazar,Assists,9.0,11.0,13.0
Curtis Lazar,Points,15.0,18.0,21.0
Nathan Bastian,Goals,5.75,7.0,9.0
Nathan Bastian,Assists,7.0,9.5,11.0
Nathan Bastian,Points,14.0,17.0,19.0
Paul Cotter,Goals,6.0,8.0,11.0
Paul Cotter,Assists,8.0,10.0,12.0
Paul Cotter,Points,16.0,18.5,22.0
Dougie Hamilton,Goals,10.0,12.0,15.0
Dougie Hamilton,Assists,25.0,28.0,31.25
Dougie Hamilton,Points,36.0,40.0,44.25
Jonas Siegenthaler,Goals,3.0,4.0,6.0
Jonas Siegenthaler,Assists,13.0,15.0,17.0
Jonas Siegenthaler,Points,16.75,19.0,22.0
Brett Pesce,Goals,2.0,3.0,4.0
Brett Pesce,Assists,13.0,16.0,19.0
Brett Pesce,Points,16.0,19.0,21.0
Brenden Dillon,Goals,1.75,3.0,3.25
Brenden Dillon,Assists,13.75,16.0,19.0
Brenden Dillon,Points,16.0,19.0,22.0
Johnathan Kovacevic,Goals,1.0,2.0,3.0
Johnathan Kovacevic,Assists,8.0,10.0,12.0
Johnathan Kovacevic,Points,10.0,11.5,14.0
Simon Nemec,Goals,0.0,0.0,1.0
Simon Nemec,Assists,14.0,17.0,20.0
Simon Nemec,Points,14.0,18.0,20.0
Luke Hughes,Goals,1.0,1.0,3.0
Luke Hughes,Assists,1.0,2.0,3.0
Luke Hughes,Points,3.0,4.0,5.0
Kurtis MacDermid,Goals,0.0,1.0,2.0
Kurtis MacDermid,Assists,1.0,3.0,4.0
Kurtis MacDermid,Points,2.0,4.0,5.0
Nick DeSimone,Goals,1.0,1.0,2.0
Nick DeSimone,Assists,0.75,1.0,2.0
Nick DeSimone,Points,2.0,3.0,4.0
Mat Barzal,Goals,21.0,23.0,27.0
Mat Barzal,Assists,44.75,50.0,54.0
Mat Barzal,Points,67.0,73.0,79.0
Bo Horvat,Goals,29.75,33.0,36.25
Bo Horvat,Assists,31.0,35.0,40.0
Bo Horvat,Points,62.0,67.0,74.0
Brock Nelson,Goals,34.0,37.5,42.0
Brock Nelson,Assists,30.0,33.0,39.0
Brock Nelson,Points,66.0,72.0,76.25
Kyle Palmieri,Goals,17.0,20.5,23.0
Kyle Palmieri,Assists,24.0,26.0,28.0
Kyle Palmieri,Points,42.0,46.5,52.25
Anthony Duclair,Goals,21.0,24.0,27.0
Anthony Duclair,Assists,29.75,34.0,37.0
Anthony Duclair,Points,53.0,58.0,62.0
Maxim Tsyplakov,Goals,13.0,17.0,20.0
Maxim Tsyplakov,Assists,21.0,23.0,27.0
Maxim Tsyplakov,Points,37.0,40.5,44.0
Anders Lee,Goals,10.0,12.0,14.0
Anders Lee,Assists,8.0,10.0,12.25
Anders Lee,Points,20.0,22.0,25.0
JG Pageau,Goals,6.0,8.0,10.0
JG Pageau,Assists,20.0,23.0,26.0
JG Pageau,Points,27.0,30.0,35.0
Simon Holmstrom,Goals,12.0,14.0,18.0
Simon Holmstrom,Assists,9.0,11.0,13.0
Simon Holmstrom,Points,23.0,26.0,29.25
Casey Cizikas,Goals,5.0,6.0,8.0
Casey Cizikas,Assists,6.75,8.0,10.0
Casey Cizikas,Points,13.0,15.0,18.0
Kyle MacLean,Goals,7.0,9.0,11.0
Kyle MacLean,Assists,10.0,12.5,15.0
Kyle MacLean,Points,19.0,22.0,24.0
Oliver Wahlstrom,Goals,5.0,6.0,8.0
Oliver Wahlstrom,Assists,6.0,8.0,10.25
Oliver Wahlstrom,Points,13.0,15.0,18.0
Hudson Fasching,Goals,0.0,1.0,1.0
Hudson Fasching,Assists,2.0,3.0,4.0
Hudson Fasching,Points,3.0,4.0,5.0
Julien Gauthier,Goals,0.0,1.0,2.0
Julien Gauthier,Assists,1.0,1.0,2.0
Julien Gauthier,Points,1.0,2.0,4.0
Pierre Engvall,Goals,0.0,1.0,2.0
Pierre Engvall,Assists,2.0,3.0,4.0
Pierre Engvall,Points,3.0,4.0,5.0
Noah Dobson,Goals,6.0,7.0,9.0
Noah Dobson,Assists,26.0,30.0,35.0
Noah Dobson,Points,32.0,37.5,42.25
Ryan Pulock,Goals,3.0,5.0,6.0
Ryan Pulock,Assists,13.75,16.0,19.0
Ryan Pulock,Points,18.0,21.0,25.0
Adam Pelech,Goals,1.0,2.0,2.0
Adam Pelech,Assists,16.0,19.0,23.0
Adam Pelech,Points,18.0,21.0,25.0
Alexander Romanov,Goals,2.0,2.0,3.25
Alexander Romanov,Assists,14.0,16.0,19.0
Alexander Romanov,Points,16.0,19.0,22.0
Scott Mayfield,Goals,0.0,1.0,1.0
Scott Mayfield,Assists,8.0,10.0,13.0
Scott Mayfield,Points,9.0,11.0,13.0
Mike Reilly,Goals,0.0,1.0,1.0
Mike Reilly,Assists,11.0,13.0,16.0
Mike Reilly,Points,12.0,14.0,17.0
Samuel Bolduc,Goals,1.0,1.0,2.0
Samuel Bolduc,Assists,0.0,1.0,2.0
Samuel Bolduc,Points,2.0,2.0,4.0
Artemi Panarin,Goals,35.0,40.0,44.0
Artemi Panarin,Assists,37.0,40.0,44.0
Artemi Panarin,Points,72.75,80.5,85.0
Mika Zibanejad,Goals,27.75,31.5,35.0
Mika Zibanejad,Assists,37.0,40.5,44.0
Mika Zibanejad,Points,67.0,72.0,77.0
Vincent Trocheck,Goals,20.0,23.0,26.0
Vincent Trocheck,Assists,44.0,49.0,54.0
Vincent Trocheck,Points,66.0,73.0,77.25
Chris Kreider,Goals,20.75,24.0,27.0
Chris Kreider,Assists,17.0,21.0,23.25
Chris Kreider,Points,40.0,43.5,49.25
Filip Chytil,Goals,16.0,18.0,21.0
Filip Chytil,Assists,22.0,26.5,30.0
Filip Chytil,Points,40.0,45.5,49.0
Alexis Lafreniere,Goals,18.75,21.0,24.25
Alexis Lafreniere,Assists,23.0,26.0,31.0
Alexis Lafreniere,Points,43.0,48.0,52.25
Kaapo Kakko,Goals,11.0,13.0,16.0
Kaapo Kakko,Assists,14.0,16.0,20.0
Kaapo Kakko,Points,26.75,30.0,33.0
Reilly Smith,Goals,8.0,11.0,13.0
Reilly Smith,Assists,23.0,26.0,29.0
Reilly Smith,Points,32.0,37.0,41.0
Will Cuylle,Goals,9.0,11.0,14.0
Will Cuylle,Assists,7.0,9.0,11.0
Will Cuylle,Points,18.0,20.0,24.0
Matt Rempe,Goals,3.0,3.5,5.0
Matt Rempe,Assists,4.0,6.0,7.0
Matt Rempe,Points,8.0,9.0,11.25
Jimmy Vesey,Goals,4.0,6.0,7.0
Jimmy Vesey,Assists,8.0,9.0,12.0
Jimmy Vesey,Points,13.0,15.0,17.25
Sam Carrick,Goals,5.75,7.0,9.0
Sam Carrick,Assists,6.0,8.0,10.0
Sam Carrick,Points,13.0,15.5,18.0
Adam Edstrom,Goals,0.0,1.0,1.0
Adam Edstrom,Assists,1.0,2.0,3.0
Adam Edstrom,Points,2.0,3.0,4.25
Adam Fox,Goals,16.0,19.0,21.0
Adam Fox,Assists,36.75,40.0,46.0
Adam Fox,Points,54.75,59.0,65.25
K'Andre Miller,Goals,5.0,6.0,8.0
K'Andre Miller,Assists,15.75,18.0,21.25
K'Andre Miller,Points,22.0,24.0,28.0
Ryan Lindgren,Goals,0.0,0.0,1.0
Ryan Lindgren,Assists,17.0,19.5,22.0
Ryan Lindgren,Points,17.0,21.0,23.0
Jacob Trouba,Goals,1.0,1.0,2.0
Jacob Trouba,Assists,17.0,20.5,24.0
Jacob Trouba,Points,19.0,22.0,25.0
Zachary Jones,Goals,0.0,1.0,2.0
Zachary Jones,Assists,6.0,9.0,11.0
Zachary Jones,Points,7.0,10.0,12.0
Braden Schneider,Goals,0.0,1.0,2.0
Braden Schneider,Assists,7.0,9.0,11.0
Braden Schneider,Points,8.0,11.0,12.0
Chad Ruhwedel,Goals,0.0,1.0,1.0
Chad Ruhwedel,Assists,0.0,1.0,2.0
Chad Ruhwedel,Points,1.0,2.0,3.0
Alexander Ovechkin,Goals,35.0,38.0,42.0
Alexander Ovechkin,Assists,29.0,32.0,36.0
Alexander Ovechkin,Points,65.0,71.5,77.0
Tom Wilson,Goals,22.0,25.0,29.0
Tom Wilson,Assists,22.0,24.0,27.0
Tom Wilson,Points,45.0,49.0,53.0
Dylan Strome,Goals,27.0,31.0,34.0
Dylan Strome,Assists,35.0,39.5,44.0
Dylan Strome,Points,64.0,70.0,76.0
Pierre-Luc Dubois,Goals,10.0,12.0,14.0
Pierre-Luc Dubois,Assists,27.0,31.0,35.0
Pierre-Luc Dubois,Points,40.0,43.5,48.0
Andrew Mangiapane,Goals,15.0,18.0,21.0
Andrew Mangiapane,Assists,29.0,33.0,38.0
Andrew Mangiapane,Points,46.75,52.0,56.0
Connor McMichael,Goals,15.0,18.0,21.25
Connor McMichael,Assists,24.0,27.0,30.25
Connor McMichael,Points,41.0,45.0,50.0
Sonny Milano,Goals,12.0,14.0,16.0
Sonny Milano,Assists,20.0,22.0,25.0
Sonny Milano,Points,33.0,37.0,40.0
Hendrix Lapierre,Goals,13.0,15.0,19.0
Hendrix Lapierre,Assists,11.0,13.0,15.0
Hendrix Lapierre,Points,25.0,28.5,32.0
Taylor Raddysh,Goals,6.0,8.0,10.0
Taylor Raddysh,Assists,8.0,10.0,12.0
Taylor Raddysh,Points,15.0,18.0,21.0
Nic Dowd,Goals,9.75,13.0,15.25
Nic Dowd,Assists,11.75,14.0,16.25
Nic Dowd,Points,23.0,27.0,30.0
Aliaksi Protas,Goals,3.0,5.0,6.0
Aliaksi Protas,Assists,13.0,16.0,19.0
Aliaksi Protas,Points,18.0,21.0,23.25
Brandon Duhaime,Goals,5.0,7.0,9.0
Brandon Duhaime,Assists,9.0,11.0,13.25
Brandon Duhaime,Points,16.0,18.5,21.0
TJ Oshie,Goals,0.0,1.0,2.0
TJ Oshie,Assists,1.0,2.0,3.0
TJ Oshie,Points,2.0,3.0,4.0
John Carlson,Goals,13.0,16.0,19.0
John Carlson,Assists,30.0,33.0,38.0
John Carlson,Points,45.0,50.0,56.0
Jakob Chychrun,Goals,6.75,8.5,11.0
Jakob Chychrun,Assists,19.0,23.0,26.25
Jakob Chychrun,Points,28.0,31.0,35.0
Matt Roy,Goals,1.0,2.0,3.0
Matt Roy,Assists,18.0,21.0,23.0
Matt Roy,Points,19.0,22.0,25.25
Rasmus Sandin,Goals,2.0,3.0,4.0
Rasmus Sandin,Assists,16.0,19.0,22.0
Rasmus Sandin,Points,19.0,22.0,25.0
Trevor Van Riemsdyk,Goals,0.0,1.0,1.0
Trevor Van Riemsdyk,Assists,9.0,11.0,13.25
Trevor Van Riemsdyk,Points,10.0,12.0,14.0
Martin Fehervary,Goals,0.75,1.0,2.0
Martin Fehervary,Assists,7.0,8.0,10.25
Martin Fehervary,Points,8.0,10.0,12.0
Ethan Bear,Goals,0.0,1.0,2.0
Ethan Bear,Assists,1.0,1.5,3.0
Ethan Bear,Points,2.0,3.0,4.0
Clayton Keller,Goals,34.0,39.0,42.0
Clayton Keller,Assists,35.0,38.0,44.0
Clayton Keller,Points,71.75,77.0,84.0
Barrett Hayton,Goals,8.75,11.0,12.0
Barrett Hayton,Assists,20.0,23.0,26.0
Barrett Hayton,Points,30.0,33.5,36.0
Nick Schmaltz,Goals,27.75,31.0,36.0
Nick Schmaltz,Assists,33.0,36.0,40.0
Nick Schmaltz,Points,63.75,69.0,74.0
Lawson Crouse,Goals,19.0,22.0,25.0
Lawson Crouse,Assists,22.0,27.0,30.0
Lawson Crouse,Points,45.0,48.0,53.25
Logan Cooley,Goals,18.0,21.0,25.0
Logan Cooley,Assists,25.0,28.0,31.0
Logan Cooley,Points,45.0,49.0,54.0
Dylan Guenther,Goals,21.75,24.0,28.0
Dylan Guenther,Assists,19.0,21.0,24.0
Dylan Guenther,Points,42.0,47.0,50.25
Mattias Maccelli,Goals,10.0,12.0,15.0
Mattias Maccelli,Assists,20.0,23.0,27.0
Mattias Maccelli,Points,32.0,36.0,40.0
Josh Doan,Goals,7.0,9.0,12.0
Josh Doan,Assists,14.0,17.0,20.0
Josh Doan,Points,23.75,26.0,31.0
Nick Bjugstad,Goals,13.75,16.0,19.0
Nick Bjugstad,Assists,13.75,16.0,19.0
Nick Bjugstad,Points,28.0,32.0,35.0
Alex Kerfoot,Goals,4.0,6.0,8.0
Alex Kerfoot,Assists,14.0,17.0,20.0
Alex Kerfoot,Points,20.0,23.0,26.0
Jack McBain,Goals,7.0,8.0,11.0
Jack McBain,Assists,14.0,16.5,20.0
Jack McBain,Points,22.0,25.0,28.25
Kevin Stenlund,Goals,5.0,7.0,9.0
Kevin Stenlund,Assists,6.0,8.0,10.0
Kevin Stenlund,Points,13.0,15.0,17.0
Michael Carcone,Goals,1.0,1.0,2.0
Michael Carcone,Assists,0.0,1.0,2.0
Michael Carcone,Points,1.0,3.0,4.0
Mikhail Sergachev,Goals,11.0,13.0,15.0
Mikhail Sergachev,Assists,30.0,33.5,37.0
Mikhail Sergachev,Points,42.0,47.0,51.0
Sean Durzi,Goals,5.0,7.0,9.0
Sean Durzi,Assists,17.0,21.0,24.0
Sean Durzi,Points,24.0,28.0,32.0
John Marino,Goals,0.75,1.0,2.0
John Marino,Assists,16.0,19.0,22.0
John Marino,Points,17.0,21.0,23.0
Juuso Valimaki,Goals,0.0,1.0,2.0
Juuso Valimaki,Assists,15.0,17.0,20.0
Juuso Valimaki,Points,17.0,18.0,21.0
Ian Cole,Goals,0.0,1.0,1.0
Ian Cole,Assists,7.0,9.0,11.0
Ian Cole,Points,8.0,10.0,12.0
Michael Kesselring,Goals,0.0,1.0,2.0
Michael Kesselring,Assists,9.0,12.0,14.0
Michael Kesselring,Points,10.0,13.0,15.0
Connor Bedard,Goals,26.0,29.0,32.0
Connor Bedard,Assists,32.0,36.0,40.0
Connor Bedard,Points,59.75,64.5,70.0
Tyler Bertuzzi,Goals,21.0,23.0,27.0
Tyler Bertuzzi,Assists,34.0,38.0,43.0
Tyler Bertuzzi,Points,57.0,61.5,66.0
Teuvo Teravainen,Goals,24.75,29.0,32.0
Teuvo Teravainen,Assists,30.0,33.5,38.0
Teuvo Teravainen,Points,56.0,61.5,68.25
Andreas Athanasiou,Goals,13.0,16.0,18.0
Andreas Athanasiou,Assists,20.0,23.5,27.0
Andreas Athanasiou,Points,34.0,40.0,44.0
Philip Kurashev,Goals,15.75,18.0,21.0
Philip Kurashev,Assists,12.75,16.0,18.0
Philip Kurashev,Points,30.0,33.0,38.0
Taylor Hall,Goals,15.0,18.0,21.0
Taylor Hall,Assists,22.0,26.0,29.0
Taylor Hall,Points,39.75,44.0,49.25
Jason Dickinson,Goals,11.0,12.5,16.0
Jason Dickinson,Assists,9.0,11.0,14.0
Jason Dickinson,Points,21.75,25.0,28.0
Nick Foligno,Goals,6.0,8.0,10.0
Nick Foligno,Assists,19.0,22.0,25.0
Nick Foligno,Points,27.0,30.0,34.0
Ilya Mikheyev,Goals,10.0,12.0,14.0
Ilya Mikheyev,Assists,21.0,25.0,28.25
Ilya Mikheyev,Points,33.0,37.0,41.0
Craig Smith,Goals,7.0,10.0,12.0
Craig Smith,Assists,7.0,9.0,11.25
Craig Smith,Points,15.75,18.0,22.25
Ryan Donato,Goals,7.0,9.0,12.0
Ryan Donato,Assists,12.0,15.0,17.0
Ryan Donato,Points,21.0,24.0,27.0
Lukas Reichel,Goals,4.0,5.0,7.0
Lukas Reichel,Assists,12.0,13.0,16.0
Lukas Reichel,Points,16.0,19.0,22.0
Joey Anderson,Goals,1.0,1.0,2.0
Joey Anderson,Assists,2.0,3.0,4.0
Joey Anderson,Points,3.0,5.0,6.0
Patrick Maroon,Goals,0.0,1.0,1.0
Patrick Maroon,Assists,1.75,2.5,4.0
Patrick Maroon,Points,2.0,3.0,4.0
Frank Nazar,Goals,0.0,1.0,2.0
Frank Nazar,Assists,2.0,3.0,4.0
Frank Nazar,Points,3.0,4.0,5.0
Nolan Slaggert,Goals,0.0,1.0,2.0
Nolan Slaggert,Assists,2.0,3.0,4.0
Nolan Slaggert,Points,3.0,4.0,5.0
Seth Jones,Goals,8.0,10.0,13.0
Seth Jones,Assists,26.0,30.0,33.0
Seth Jones,Points,35.75,39.0,43.0
Alex Vlassic,Goals,3.0,4.0,5.0
Alex Vlassic,Assists,12.0,14.0,16.0
Alex Vlassic,Points,16.0,19.0,21.0
Connor Murphy,Goals,2.0,3.0,4.0
Connor Murphy,Assists,6.0,8.0,10.25
Connor Murphy,Points,9.0,11.0,14.0
Kevin Korchinski,Goals,2.0,3.0,4.0
Kevin Korchinski,Assists,6.0,8.0,10.0
Kevin Korchinski,Points,9.0,11.0,13.0
Alec Martinez,Goals,0.0,1.0,2.0
Alec Martinez,Assists,6.0,7.0,8.25
Alec Martinez,Points,7.0,8.0,10.0
TJ Brodie,Goals,0.0,0.5,1.0
TJ Brodie,Assists,9.0,11.0,13.0
TJ Brodie,Points,9.0,11.5,14.0
Nathan MacKinnon,Goals,43.0,46.0,50.0
Nathan MacKinnon,Assists,47.75,51.5,57.0
Nathan MacKinnon,Points,94.0,100.0,105.0
Mikko Rantanen,Goals,40.0,44.0,48.0
Mikko Rantanen,Assists,33.75,38.0,41.0
Mikko Rantanen,Points,75.0,81.5,86.25
Jonathan Drouin,Goals,26.0,30.0,34.0
Jonathan Drouin,Assists,33.75,38.5,42.0
Jonathan Drouin,Points,61.0,70.0,75.0
Casey Mittelstadt,Goals,20.0,23.0,27.0
Casey Mittelstadt,Assists,32.75,36.0,41.0
Casey Mittelstadt,Points,55.0,60.0,67.0
Artturi Lehkonen,Goals,21.0,25.0,27.0
Artturi Lehkonen,Assists,29.75,33.0,37.0
Artturi Lehkonen,Points,53.0,58.0,63.0
Nikolai Kovalenko,Goals,18.0,20.5,23.0
Nikolai Kovalenko,Assists,25.0,28.5,32.0
Nikolai Kovalenko,Points,45.0,49.0,54.0
Ross Colton,Goals,10.0,13.0,15.0
Ross Colton,Assists,20.0,24.0,26.0
Ross Colton,Points,32.0,36.0,40.0
Miles Wood,Goals,4.0,5.0,7.0
Miles Wood,Assists,24.0,28.0,31.0
Miles Wood,Points,28.0,33.0,37.0
Logan O'Connor,Goals,9.75,11.0,14.0
Logan O'Connor,Assists,19.0,22.0,25.0
Logan O'Connor,Points,29.75,33.0,38.0
Parker Kelly,Goals,3.0,4.0,5.0
Parker Kelly,Assists,4.0,6.0,7.0
Parker Kelly,Points,8.0,10.0,12.0
Chris Wagner,Goals,5.0,6.0,8.0
Chris Wagner,Assists,6.0,9.0,11.0
Chris Wagner,Points,12.0,14.5,18.0
Joel Kiviranta,Goals,3.0,4.5,6.0
Joel Kiviranta,Assists,5.0,6.5,8.0
Joel Kiviranta,Points,9.0,11.0,14.0
Gabriel Landeskog,Goals,1.0,2.0,3.0
Gabriel Landeskog,Assists,2.0,4.0,5.0
Gabriel Landeskog,Points,4.0,5.0,7.0
Cale Makar,Goals,19.0,22.0,25.0
Cale Makar,Assists,35.0,38.0,41.0
Cale Makar,Points,55.0,61.0,65.0
Devon Toews,Goals,7.0,9.0,11.0
Devon Toews,Assists,24.0,27.0,30.0
Devon Toews,Points,33.0,36.0,40.0
Samuel Girard,Goals,2.0,3.0,4.0
Samuel Girard,Assists,18.0,20.0,23.25
Samuel Girard,Points,20.0,24.0,26.25
Josh Manson,Goals,2.0,3.0,4.0
Josh Manson,Assists,22.0,25.0,28.0
Josh Manson,Points,25.0,28.0,31.0
Oliver Kylington,Goals,1.0,1.0,2.0
Oliver Kylington,Assists,6.0,7.0,9.0
Oliver Kylington,Points,7.0,9.0,11.0
Calvin deHaan,Goals,0.0,1.0,2.0
Calvin deHaan,Assists,8.0,10.0,12.0
Calvin deHaan,Points,9.0,11.0,13.25
