Name,Team,Goals,Assists,Points
Bobby Brink,PHI,9,15,24
Nicolas Deslauriers,PHI,0,0,0
Travis Sanheim,PHI,7,35,42
Cam York,PHI,7,15,22
Nick Seeler,PHI,1,15,16
Jamie Drysdale,PHI,2,13,15
Erik Johnson,PHI,1,4,5
Rasmus Ristolainen,PHI,0,10,10
Sidney Crosby,PIT,45,37,82
Evgeni Malkin,PIT,35,42,77
Bryan Rust,PIT,32,37,69
Rickard Rakell,PIT,21,25,46
Michael Bunting,PIT,21,46,67
Drew O'Connor,PIT,15,30,45
Lars Eller,PIT,8,15,23
Kevin Hayes,PIT,18,17,35
Cody Glass,PIT,5,14,19
Noel Acciari,PIT,4,6,10
Blake Lizotte,PIT,10,17,27
Anthony Beauvilier,PIT,7,13,20
Jesse Puljujarvi,PIT,0,3,3
Erik Karlsson,PIT,26,42,68
Kris Letang,PIT,12,25,37
Marcus Pettersson,PIT,1,35,36
Ryan Graves,PIT,7,10,17
Matt Grzelyck,PIT,3,14,17
Sebastian Aho,PIT,2,17,19
Jack Hughes,NJ,17,32,49
Nico Hischier,NJ,31,47,78
Jesper Bratt,NJ,26,39,65
Timo Meier,NJ,32,25,57
Dawson Mercer,NJ,22,22,44
Erik Haula,NJ,16,36,52
Ondrej Palat,NJ,9,17,26
Tomas Tatar,NJ,12,16,28
Stefan Noesen,NJ,8,22,30
Curtis Lazar,NJ,6,8,14
Nathan Bastian,NJ,5,6,11
Paul Cotter,NJ,11,7,18
Dougie Hamilton,NJ,7,26,33
Jonas Siegenthaler,NJ,5,13,18
Brett Pesce,NJ,4,13,17
Brenden Dillon,NJ,3,5,8
Johnathan Kovacevic,NJ,2,10,12
Simon Nemec,NJ,0,14,14
Luke Hughes,NJ,1,2,3
Kurtis MacDermid,NJ,0,1,1
Nick DeSimone,NJ,3,1,4
Mat Barzal,NYI,22,38,60
Bo Horvat,NYI,34,39,73
Brock Nelson,NYI,34,38,72
Kyle Palmieri,NYI,22,26,48
Anthony Duclair,NYI,15,40,55
Maxim Tsyplakov,NYI,27,25,52
Anders Lee,NYI,9,11,20
JG Pageau,NYI,12,24,36
Simon Holmstrom,NYI,25,6,31
Casey Cizikas,NYI,2,14,16
Kyle MacLean,NYI,9,15,24
Oliver Wahlstrom,NYI,3,6,9
Hudson Fasching,NYI,0,1,1
Julien Gauthier,NYI,1,2,3
Pierre Engvall,NYI,2,3,5
Noah Dobson,NYI,13,33,46
Ryan Pulock,NYI,7,21,28
Adam Pelech,NYI,0,20,20
Alexander Romanov,NYI,1,17,18
Scott Mayfield,NYI,1,9,10
Mike Reilly,NYI,3,18,21
Samuel Bolduc,NYI,1,0,1
Artemi Panarin,NYR,39,52,91
Mika Zibanejad,NYR,33,37,70
Vincent Trocheck,NYR,20,64,84
Chris Kreider,NYR,20,23,43
Filip Chytil,NYR,22,34,56
Alexis Lafreniere,NYR,24,37,61
Kaapo Kakko,NYR,18,21,39
Reilly Smith,NYR,12,27,39
Will Cuylle,NYR,15,9,24
Matt Rempe,NYR,6,5,11
Jimmy Vesey,NYR,7,9,16
Sam Carrick,NYR,9,7,16
Adam Edstrom,NYR,0,5,5
Adam Fox,NYR,24,47,71
K'Andre Miller,NYR,12,16,28
Ryan Lindgren,NYR,1,19,20
Jacob Trouba,NYR,1,20,21
Zachary Jones,NYR,0,6,6
Braden Schneider,NYR,1,14,15
Chad Ruhwedel,NYR,1,0,1
Alexander Ovechkin,WSH,36,36,72
Tom Wilson,WSH,24,22,46
Dylan Strome,WSH,34,44,78
Pierre-Luc Dubois,WSH,9,42,51
Andrew Mangiapane,WSH,19,32,51
Connor McMichael,WSH,17,41,58
Sonny Milano,WSH,13,20,33
Hendrix Lapierre,WSH,20,13,33
Taylor Raddysh,WSH,14,5,19
Nic Dowd,WSH,9,11,20
Aliaksi Protas,WSH,4,11,15
Brandon Duhaime,WSH,14,8,22
TJ Oshie,WSH,0,2,2
John Carlson,WSH,17,40,57
Jakob Chychrun,WSH,6,21,27
Matt Roy,WSH,1,22,23
Rasmus Sandin,WSH,2,16,18
Trevor Van Riemsdyk,WSH,1,18,19
Martin Fehervary,WSH,1,12,13
Ethan Bear,WSH,3,2,5
Clayton Keller,UT,30,36,66
Barrett Hayton,UT,14,22,36
Nick Schmaltz,UT,25,45,70
Lawson Crouse,UT,24,28,52
Logan Cooley,UT,17,34,51
Dylan Guenther,UT,26,27,53
Mattias Maccelli,UT,15,20,35
Josh Doan,UT,7,17,24
Nick Bjugstad,UT,21,14,35
Alex Kerfoot,UT,12,17,29
Jack McBain,UT,8,21,29
Kevin Stenlund,UT,7,4,11
Michael Carcone,UT,1,1,2
Mikhail Sergachev,UT,18,26,44
Sean Durzi,UT,8,13,21
John Marino,UT,4,18,22
Juuso Valimaki,UT,0,21,21
Ian Cole,UT,0,11,11
Michael Kesselring,UT,0,12,12
Connor Bedard,CHI,33,37,70
Tyler Bertuzzi,CHI,32,39,71
Teuvo Teravainen,CHI,29,28,57
Andreas Athanasiou,CHI,12,21,33
Philip Kurashev,CHI,20,13,33
Taylor Hall,CHI,22,27,49
Jason Dickinson,CHI,12,10,22
Nick Foligno,CHI,3,24,27
Ilya Mikheyev,CHI,12,18,30
Craig Smith,CHI,7,6,13
Ryan Donato,CHI,5,16,21
Lukas Reichel,CHI,4,14,18
Joey Anderson,CHI,2,3,5
Patrick Maroon,CHI,0,3,3
Frank Nazar,CHI,0,4,4
Nolan Slaggert,CHI,0,8,8
Seth Jones,CHI,10,36,46
Alex Vlassic,CHI,5,14,19
Connor Murphy,CHI,1,11,12
Kevin Korchinski,CHI,2,11,13
Alec Martinez,CHI,1,4,5
TJ Brodie,CHI,0,12,12
Nathan MacKinnon,COL,56,45,101
Mikko Rantanen,COL,46,46,92
Jonathan Drouin,COL,33,46,79
Casey Mittelstadt,COL,25,52,77
Artturi Lehkonen,COL,26,36,62
Nikolai Kovalenko,COL,25,22,47
Ross Colton,COL,17,25,42
Miles Wood,COL,9,36,45
Logan O'Connor,COL,7,21,28
Parker Kelly,COL,3,9,12
Chris Wagner,COL,6,5,11
Joel Kiviranta,COL,7,8,15
Gabriel Landeskog,COL,1,4,5
Cale Makar,COL,15,38,53
Devon Toews,COL,7,36,43
Samuel Girard,COL,1,20,21
Josh Manson,COL,7,30,37
Oliver Kylington,COL,1,4,5
Calvin deHaan,COL,1,11,12
Keaton Middleton,COL,1,4,5
Jason Robertson,DAL,41,54,95
Roope Hintz,DAL,43,60,103
Wyatt Johnston,DAL,33,38,71
Jamie Benn,DAL,22,45,67
Tyler Seguin,DAL,33,29,62
Matt Duchene,DAL,29,37,66
Mason Marchment,DAL,8,38,46
Evgeni Dadonov,DAL,16,17,33
Logan Stankoven,DAL,16,24,40
Sam Steel,DAL,13,12,25
Colin Blackwell,DAL,5,14,19
Mavrik Bourque,DAL,11,18,29
Miro Heiskanen,DAL,9,32,41
Esa Lindell,DAL,4,25,29
Thomas Harley,DAL,3,19,22
Ilya Lyubushkin,DAL,3,12,15
Matt Dumba,DAL,1,5,6
Nils Lundkvist,DAL,0,19,19
Brendan Smith,DAL,3,5,8
Kirill Kaprizov,MIN,44,45,89
Matthew Boldy,MIN,32,48,80
Joel Eriksson-Ek,MIN,19,43,62
Mats Zuccarello,MIN,35,33,68
Marcus Foligno,MIN,19,27,46
Ryan Hartman,MIN,16,28,44
Frederick Gaudreau,MIN,11,10,21
Marcus Johansson,MIN,13,13,26
Marco Rossi,MIN,16,12,28
Marat Kushnutdinov,MIN,5,12,17
Yakov Trenin,MIN,8,3,11
Jakub Lauko,MIN,2,13,15
Liam Ohgren,MIN,2,0,2
Brock Faber,MIN,8,30,38
Jonas Brodin,MIN,9,19,28
Jared Spurgeon,MIN,3,14,17
Jake Middleton,MIN,1,17,18
Zach Bogosian,MIN,2,14,16
Jon Merrill,MIN,2,11,13
Filip Forsberg,NSH,35,46,81
Ryan O'Reilly,NSH,33,35,68
Jonathan Marchessault,NSH,38,29,67
Gustav Nyquist,NSH,22,32,54
Steven Stamkos,NSH,42,37,79
Tommy Novak,NSH,24,35,59
Colton Sissons,NSH,6,15,21
Mark Jankowski,NSH,3,13,16
Luke Evangelista,NSH,9,31,40
Cole Smith,NSH,2,12,14
Michael McCarron,NSH,6,16,22
Phil Tomasino,NSH,8,13,21
Juuso Parssinen,NSH,1,0,1
Roman Josi,NSH,21,48,69
Brady Skjei,NSH,6,23,29
Dante Fabbro,NSH,1,18,19
Alexandre Carrier,NSH,5,24,29
Jeremy Lauzon,NSH,2,4,6
Spencer Stastney,NSH,1,11,12
Luke Schenn,NSH,4,2,6
Robert Thomas,STL,23,42,65
Jordan Kyrou,STL,26,29,55
Pavel Buchnevich,STL,29,28,57
Brayden Schenn,STL,14,29,43
Jake Neighbours,STL,15,7,22
Brandon Saad,STL,26,18,44
Radek Faksa,STL,7,17,24
Mathieu Joseph,STL,8,19,27
Dylan Holloway,STL,3,13,16
Alexey Toropchenko,STL,12,7,19
Oskar Sundqvist,STL,7,10,17
Alexandre Texier,STL,9,11,20
Kasperi Kapanen,STL,0,4,4
Colton Parayko,STL,6,15,21
Nick Leddy,STL,2,23,25
Justin Faulk,STL,4,16,20
Philip Broberg,STL,1,13,14
Ryan Suter,STL,1,2,3
Scott Perunovich,STL,0,10,10
Torey Krug,STL,0,4,4
Kyle Connor,WPG,49,29,78
Mark Scheifele,WPG,37,33,70
Gabriel Vilardi,WPG,36,36,72
Cole Perfetti,WPG,22,31,53
Nikolai Ehlers,WPG,20,45,65
Alex Iafallo,WPG,9,26,35
Nino Niederreiter,WPG,15,20,35
Mason Appleton,WPG,12,24,36
Adam Lowry,WPG,5,20,25
Vladislav Namestnikov,WPG,5,10,15
Morgan Barron,WPG,7,11,18
Rasmus Kupari,WPG,5,11,16
Josh Morrissey,WPG,19,45,64
Dylan DeMelo,WPG,4,19,23
Neal Pionk,WPG,1,19,20
Dylan Samberg,WPG,2,22,24
Logan Stanley,WPG,0,6,6
Colin Miller,WPG,1,13,14
Troy Terry,ANA,31,24,55
Alex Killorn,ANA,39,40,79
Leo Carlsson,ANA,23,16,39
Frank Vatrano,ANA,19,22,41
Trevor Zegras,ANA,17,30,47
Cutter Gauthier,ANA,15,25,40
Ryan Strome,ANA,10,27,37
Robby Fabbri,ANA,20,13,33
Mason McTavish,ANA,7,23,30
Brett Leason,ANA,12,10,22
Brock McGinn,ANA,4,6,10
Isac Lundestrom,ANA,3,11,14
Sam Colangelo,ANA,2,2,4
Ross Johnston,ANA,1,3,4
Cam Fowler,ANA,7,24,31
Pavel Mintyukov,ANA,9,17,26
Radko Gudas,ANA,4,17,21
Brian Dumoulin,ANA,3,20,23
Olen Zellweger,ANA,1,17,18
Gustav Lindstrom,ANA,0,16,16
Blake Coleman,CGY,31,28,59
Mikael Backlund,CGY,18,22,40
Jonathan Huberdeau,CGY,11,41,52
Andrei Kuzmenko,CGY,32,11,43
Nazem Kadri,CGY,14,35,49
Connor Zary,CGY,17,23,40
Yegor Sharangovich,CGY,12,10,22
Martin Pospisil,CGY,8,14,22
Anthony Mantha,CGY,17,22,39
Kevin Rooney,CGY,5,4,9
Ryan Lomberg,CGY,8,14,22
Walker Dueher,CGY,10,19,29
Dryden Hunt,CGY,4,0,4
MacKenzie Weegar,CGY,6,19,25
Rasmus Andersson,CGY,9,27,36
Kevin Bahl,CGY,0,7,7
Danill Miromanov,CGY,2,23,25
Tyson Barrie,CGY,2,9,11
Jake Bean,CGY,2,7,9
Brayden Pachal,CGY,1,3,4
Joel Hanley,CGY,0,1,1
Connor McDavid,EDM,46,54,100
Leon Draisaitl,EDM,45,57,102
Ryan Nugent-Hopkins,EDM,21,36,57
Zach Hyman,EDM,28,34,62
Jeff Skinner,EDM,33,41,74
Viktor Arvidsson,EDM,19,25,44
Mattias Janmark,EDM,5,19,24
Connor Brown,EDM,9,20,29
Adam Henrique,EDM,23,14,37
Derek Ryan,EDM,15,10,25
Corey Perry,EDM,10,11,21
Vasaily Podkolzin,EDM,4,17,21
Evander Kane,EDM,0,1,1
Darnell Nurse,EDM,11,30,41
Evan Bouchard,EDM,11,20,31
Mattias Ekholm,EDM,2,25,27
Brett Kulak,EDM,1,9,10
Troy Stecher,EDM,3,10,13
Ty Emberson,EDM,1,16,17
Josh Brown,EDM,2,1,3
Anze Kopitar,LA,38,32,70
Adrian Kempe,LA,45,34,79
Kevin Fiala,LA,27,52,79
Quinton Byfield,LA,20,37,57
Phillip Danault,LA,24,24,48
Arthur Kaliyev,LA,14,21,35
Trevor Moore,LA,17,27,44
Alexis Lafferiere,LA,7,9,16
Warren Foegle,LA,3,26,29
Tanner Jeannot,LA,9,6,15
Trevor Lewis,LA,6,7,13
Alex Turcotte,LA,8,11,19
Drew Doughty,LA,0,2,2
Mikey Anderson,LA,2,20,22
Vladislav Gavrikov,LA,4,17,21
Brandt Clarke,LA,3,9,12
Jordan Spence,LA,3,26,29
Kyle Burroughs,LA,3,10,13
Joel Edmundson,LA,0,10,10
Andreas Englund,LA,1,0,1
Jacob Moverare,LA,2,3,5
Macklin Celebrini,SJ,19,36,55
William Eklund,SJ,27,30,57
Tyler Toffoli,SJ,35,28,63
Mikael Granlund,SJ,21,36,57
Fabian Zetterlund,SJ,16,43,59
Alexander Wennberg,SJ,19,24,43
Will Smith,SJ,13,16,29
Thomas Bordeleau,SJ,17,19,36
Luke Kunin,SJ,9,14,23
Nico Sturm,SJ,8,18,26
Barclay Goodrow,SJ,13,16,29
Ty Dellandrea,SJ,8,15,23
Klim Kostin,SJ,3,2,5
Logan Couture,SJ,0,5,5
Carl Grundstrom,SJ,3,4,7
Mario Ferraro,SJ,6,24,30
Cody Ceci,SJ,6,17,23
Jan Rutta,SJ,1,7,8
Jake Walman,SJ,3,5,8
Matt Benning,SJ,1,25,26
Marc-Eduoard Vlassic,SJ,4,9,13
Jared McCann,SEA,40,31,71
Matty Beniers,SEA,31,30,61
Jordan Eberle,SEA,18,51,69
Yanni Gourde,SEA,20,25,45
Oliver Bjorkstrand,SEA,27,34,61
Chandler Stephenson,SEA,32,21,53
Eeli Tolvanen,SEA,16,22,38
Andre Burakovsky,SEA,13,38,51
Jaden Schwartz,SEA,12,18,30
Brandon Tanev,SEA,9,4,13
Shane Wright,SEA,14,21,35
Tye Kartye,SEA,9,9,18
Vince Dunn,SEA,10,26,36
Adam Larsson,SEA,8,24,32
Jamie Oleksiak,SEA,1,16,17
Brandon Montour,SEA,5,22,27
William Borgen,SEA,0,21,21
Ryker Evans,SEA,1,14,15
Josh Mahura,SEA,3,11,14
Elias Pettersson,VAN,36,56,92
JT Miller,VAN,28,53,81
Jake DeBrusk,VAN,31,43,74
Brock Boeser,VAN,16,29,45
Conor Garland,VAN,23,23,46
Daniel Sprong,VAN,32,28,60
Pius Suter,VAN,10,17,27
Nils Hoglander,VAN,16,15,31
Dakota Joshua,VAN,13,19,32
Teddy Blueger,VAN,6,21,27
Danton Heinen,VAN,8,18,26
Kieffer Sherwood,VAN,11,12,23
Nils Aman,VAN,0,5,5
Phil Di Gisueppe,VAN,2,4,6
Quinn Hughes,VAN,18,31,49
Filip Hronek,VAN,3,24,27
Carson Soucy,VAN,6,11,17
Tyler Myers,VAN,2,30,32
Derek Forbort,VAN,1,4,5
Vincent Desharnais,VAN,1,9,10
Mark Friedman,VAN,1,0,1
Erik Brannstrom,VAN,0,1,1
Jack Eichel,VGK,39,44,83
Mark Stone,VGK,32,49,81
Tomas Hertl,VGK,20,36,56
William Karlsson,VGK,30,29,59
Ivan Barbashev,VGK,25,34,59
Victor Olofsson,VGK,25,16,41
Brett Howden,VGK,10,15,25
Alexander Holtz,VGK,22,12,34
Pavel Dorofeyev,VGK,19,29,48
Keegan Kolesar,VGK,10,23,33
Jonas Rondbjerg,VGK,0,13,13
Nicolas Roy,VGK,12,25,37
Alex Pietrangelo,VGK,9,20,29
Noah Hanafin,VGK,10,32,42
Shea Theodore,VGK,11,43,54
Brayden McNabb,VGK,4,16,20
Nick Hague,VGK,1,11,12
Zach Whitecloud,VGK,3,10,13
Brad Marchand,BOS,30,43,73
David Pastrnak,BOS,44,52,96
Elias Lindholm,BOS,28,27,55
Charlie Coyle,BOS,31,29,60
Pavel Zacha,BOS,21,31,52
Trent Frederic,BOS,27,29,56
Morgan Geekie,BOS,7,14,21
John Beecher,BOS,9,11,20
Mark Kastelic,BOS,9,5,14
Patrick Brown,BOS,5,9,14
Justin Brazeau,BOS,10,7,17
Max Jones,BOS,2,15,17
Charlie McAvoy,BOS,8,39,47
Hampus Lindholm,BOS,1,14,15
Brandon Carlo,BOS,2,20,22
Nikita Zadorov,BOS,3,16,19
Andrew Peeke,BOS,1,17,18
Mason Lohrei,BOS,2,8,10
Parker Wotherspoon,BOS,0,1,1
Tage Thompson,BUF,34,42,76
Alex Tuch,BUF,21,55,76
JJ Peterka,BUF,28,32,60
Dylan Cozens,BUF,21,36,57
Jack Quinn,BUF,24,30,54
Jason Zucker,BUF,21,27,48
Jordan Greenway,BUF,10,9,19
Zach Benson,BUF,15,24,39
Ryan McLeod,BUF,13,22,35
Sam Lafferty,BUF,14,12,26
Nicolas Aube-Kubel,BUF,12,15,27
Beck Malenstyn,BUF,6,8,14
Peyton Krebs,BUF,1,0,1
Rasmus Dahlin,BUF,26,42,68
Owen Power,BUF,7,22,29
Bowen Byram,BUF,2,11,13
Henri Jokijarju,BUF,1,25,26
Connor Clifton,BUF,1,18,19
Mattias Samuelsson,BUF,2,10,12
Jacob Bryson,BUF,1,1,2
Dylan Larkin,DET,34,40,74
Lucas Raymond,DET,31,21,52
Alex DeBrincat,DET,24,35,59
Patrick Kane,DET,19,38,57
JT Compher,DET,16,24,40
Vladimir Tarasenko,DET,21,32,53
Andrew Copp,DET,6,15,21
Michael Rasmussen,DET,16,21,37
Jonatan Berggren,DET,19,20,39
Joe Veleno,DET,7,8,15
Christian Fischer,DET,5,15,20
Tyler Motte,DET,8,8,16
Austin Watson,DET,3,7,10
Moritz Seider,DET,9,23,32
Ben Chiarot,DET,6,20,26
Jeff Petry,DET,1,17,18
Simon Edvinsson,DET,6,10,16
Erik Gustafsson,DET,1,20,21
Olli Maatta,DET,1,11,12
Justin Holl,DET,0,1,1
Matthew Tkachuk,FLA,26,48,74
Aleksander Barkov,FLA,33,52,85
Sam Reinhart,FLA,41,33,74
Sam Bennett,FLA,18,35,53
Carter Verhaeghe,FLA,32,23,55
Evan Rodrigues,FLA,12,23,35
Eetu Luostarainen,FLA,12,13,25
Jonah Gadjovich,FLA,7,12,19
Anton Lundell,FLA,5,12,17
Jesper Boqvist,FLA,12,2,14
AJ Greer,FLA,8,5,13
Tomas Nosek,FLA,4,12,16
Aaron Ekblad,FLA,10,29,39
Gustav Forsling,FLA,11,36,47
Dimitry Kulikov,FLA,3,17,20
Niko Mikkola,FLA,0,9,9
Nate Schmidt,FLA,1,13,14
Adam Boqvist,FLA,2,14,16
Uvis Balinskis,FLA,3,3,6
Tobias Bjornfoot,FLA,1,1,2
John Ludvig,FLA,4,4,8
Nick Suzuki,MTL,34,33,67
Cole Caufield,MTL,25,19,44
Juraj Slafkovsky,MTL,20,25,45
Patrik Laine,MTL,1,4,5
Kriby Dach,MTL,20,20,40
Alex Newhook,MTL,17,20,37
Josh Anderson,MTL,4,15,19
Christian Dvorak,MTL,4,12,16
Rafael Harvey-Pinard,MTL,10,11,21
Brendan Gallagher,MTL,2,20,22
Joel Armia,MTL,19,13,32
Jake Evans,MTL,6,18,24
Joshua Roy,MTL,11,17,28
Michael Pezzetta,MTL,0,4,4
Mike Matheson,MTL,12,37,49
David Savard,MTL,5,11,16
Kaiden Guhle,MTL,3,18,21
Justin Barron,MTL,4,16,20
Lane Hutson,MTL,2,8,10
Arber Xhekaj,MTL,4,12,16
Tim Stuetzle,OTT,28,40,68
Claude Giroux,OTT,32,37,69
Brady Tkachuk,OTT,24,59,83
Drake Batherson,OTT,31,25,56
Shane Pinto,OTT,12,24,36
Josh Norris,OTT,33,8,41
David Perron,OTT,13,30,43
Ridley Greig,OTT,11,24,35
Michael Amadio,OTT,11,13,24
Zack MacEwen,OTT,6,9,15
Noah Gregor,OTT,4,8,12
Nick Cousins,OTT,4,11,15
Jake Sanderson,OTT,9,30,39
Thomas Chabot,OTT,8,14,22
Artem Zub,OTT,0,20,20
Nick Jensen,OTT,1,19,20
Travis Hamonic,OTT,2,5,7
Jacob Bernard-Docker,OTT,1,9,10
Nikita Kucherov,TB,29,59,88
Brayden Point,TB,59,29,88
Jake Guentzel,TB,21,36,57
Brandon Hagel,TB,16,31,47
Anthony Cirelli,TB,20,22,42
Nicholas Paul,TB,19,13,32
Conor Sheary,TB,11,23,34
Mikey Eyssimont,TB,11,17,28
Cam Atkinson,TB,6,17,23
Zemgus Girgensons,TB,8,7,15
Luke Glendening,TB,8,2,10
Mitchell Chaffee,TB,7,7,14
Victor Hedman,TB,16,35,51
Erik Cernak,TB,4,20,24
Ryan McDonagh,TB,1,28,29
Darren Raddysh,TB,3,5,8
JJ Moser,TB,0,14,14
Nick Perbix,TB,2,20,22
Auston Matthews,TOR,43,44,87
William Nylander,TOR,34,33,67
Mitch Marner,TOR,37,49,86
John Tavares,TOR,20,23,43
Matthew Knies,TOR,14,28,42
Max Domi,TOR,11,32,43
Nicholas Robertson,TOR,20,20,40
Max Pacioretty,TOR,7,28,35
Pontus Holmberg,TOR,8,19,27
David Kampf,TOR,5,3,8
Connor Dewar,TOR,9,12,21
Bobby McMann,TOR,15,5,20
Ryan Reaves,TOR,0,1,1
Steven Lorentz,TOR,0,1,1
Calle Jarnkrok,TOR,0,4,4
Morgan Rielly,TOR,12,23,35
Chris Tanev,TOR,2,13,15
Oliver Ekman-Larsson,TOR,1,18,19
Jake McCabe,TOR,3,31,34
Simon Benoit,TOR,0,3,3
Timothy Liljgren,TOR,3,7,10
Conor Timmins,TOR,0,2,2
Sebastian Aho,CAR,52,38,90
Andrei Svechnikov,CAR,39,42,81
Seth Jarvis,CAR,38,37,75
Jesperi Kotkaniemi,CAR,29,19,48
Martin Necas,CAR,21,37,58
Jesper Fast,CAR,20,36,56
Jack Drury,CAR,7,19,26
Jordan Staal,CAR,11,8,19
Jack Roslovic,CAR,19,32,51
Tyson Jost,CAR,8,4,12
William Carrier,CAR,5,13,18
Jordan Martinook,CAR,3,14,17
Brendan Lemieux,CAR,3,2,5
Eric Robinson,CAR,1,4,5
Ryan Suzuki,CAR,0,6,6
Jaccob Slavin,CAR,4,29,33
Brent Burns,CAR,5,39,44
Sean Walker,CAR,5,33,38
Dimitry Orlov,CAR,3,18,21
Shayne Gostisbehere,CAR,6,19,25
Jalen Chatfield,CAR,1,9,10
Boone Jenner,CBJ,36,20,56
Kirill Marchenko,CBJ,23,19,42
Sean Monahan,CBJ,23,35,58
Adam Fantilli,CBJ,19,31,50
Kent Johnson,CBJ,16,24,40
Yegor Chinakhov,CBJ,21,18,39
Cole Sillinger,CBJ,3,17,20
James van Riemsdyk,CBJ,5,21,26
Dimitri Voronkov,CBJ,11,25,36
Sean Kuraly,CBJ,6,7,13
Mathieu Olivier,CBJ,9,7,16
Justin Danforth,CBJ,7,10,17
Gavin Brindley,CBJ,1,1,2
Zach Werenski,CBJ,12,39,51
Ivan Provorov,CBJ,7,12,19
Jordan Harris,CBJ,5,21,26
Damon Severson,CBJ,2,11,13
Erik Gudbranson,CBJ,4,5,9
Jack Johnson,CBJ,1,6,7
Travis Konecny,PHI,36,41,77
Owen Tippett,PHI,29,40,69
Tyson Foerster,PHI,25,9,34
Matvei Michkov,PHI,23,31,54
Sean Couturier,PHI,9,29,38
Joel Farabee,PHI,21,27,48
Scott Laughton,PHI,13,11,24
Morgan Frost,PHI,9,22,31
Noah Cates,PHI,7,13,20
Garnet Hathaway,PHI,7,7,14
Ryan Poehling,PHI,9,13,22
Bobby Brink,PHI,6,16,22
Nicolas Deslauriers,PHI,1,2,3
Travis Sanheim,PHI,10,35,45
Cam York,PHI,10,14,24
Nick Seeler,PHI,3,17,20
Jamie Drysdale,PHI,3,16,19
Erik Johnson,PHI,1,10,11
Rasmus Ristolainen,PHI,0,8,8
Sidney Crosby,PIT,35,49,84
Evgeni Malkin,PIT,42,47,89
Bryan Rust,PIT,29,32,61
Rickard Rakell,PIT,20,13,33
Michael Bunting,PIT,23,37,60
Drew O'Connor,PIT,18,29,47
Lars Eller,PIT,7,11,18
Kevin Hayes,PIT,19,20,39
Cody Glass,PIT,6,11,17
Noel Acciari,PIT,6,10,16
Blake Lizotte,PIT,6,18,24
Anthony Beauvilier,PIT,3,18,21
Jesse Puljujarvi,PIT,1,3,4
Erik Karlsson,PIT,19,49,68
Kris Letang,PIT,15,24,39
Marcus Pettersson,PIT,1,34,35
Ryan Graves,PIT,3,16,19
Matt Grzelyck,PIT,0,10,10
Sebastian Aho,PIT,1,5,6
Jack Hughes,NJ,33,45,78
Nico Hischier,NJ,44,57,101
Jesper Bratt,NJ,38,44,82
Timo Meier,NJ,31,24,55
Dawson Mercer,NJ,35,29,64
Erik Haula,NJ,26,41,67
Ondrej Palat,NJ,12,26,38
Tomas Tatar,NJ,17,19,36
Stefan Noesen,NJ,1,34,35
Curtis Lazar,NJ,3,8,11
Nathan Bastian,NJ,9,6,15
Paul Cotter,NJ,13,9,22
Dougie Hamilton,NJ,12,29,41
Jonas Siegenthaler,NJ,5,12,17
Brett Pesce,NJ,2,17,19
Brenden Dillon,NJ,2,24,26
Johnathan Kovacevic,NJ,0,15,15
Simon Nemec,NJ,1,22,23
Luke Hughes,NJ,1,2,3
Kurtis MacDermid,NJ,2,6,8
Nick DeSimone,NJ,3,1,4
Mat Barzal,NYI,28,50,78
Bo Horvat,NYI,34,40,74
Brock Nelson,NYI,43,31,74
Kyle Palmieri,NYI,18,25,43
Anthony Duclair,NYI,26,41,67
Maxim Tsyplakov,NYI,27,22,49
Anders Lee,NYI,13,13,26
JG Pageau,NYI,5,31,36
Simon Holmstrom,NYI,10,4,14
Casey Cizikas,NYI,8,11,19
Kyle MacLean,NYI,9,21,30
Oliver Wahlstrom,NYI,9,8,17
Hudson Fasching,NYI,2,2,4
Julien Gauthier,NYI,3,0,3
Pierre Engvall,NYI,1,2,3
Noah Dobson,NYI,7,39,46
Ryan Pulock,NYI,7,19,26
Adam Pelech,NYI,0,20,20
Alexander Romanov,NYI,1,24,25
Scott Mayfield,NYI,1,5,6
Mike Reilly,NYI,1,13,14
Samuel Bolduc,NYI,1,3,4
Artemi Panarin,NYR,44,47,91
Mika Zibanejad,NYR,41,44,85
Vincent Trocheck,NYR,25,55,80
Chris Kreider,NYR,22,27,49
Filip Chytil,NYR,25,31,56
Alexis Lafreniere,NYR,31,23,54
Kaapo Kakko,NYR,13,14,27
Reilly Smith,NYR,10,27,37
Will Cuylle,NYR,15,9,24
Matt Rempe,NYR,7,6,13
Jimmy Vesey,NYR,3,16,19
Sam Carrick,NYR,5,8,13
Adam Edstrom,NYR,1,3,4
Adam Fox,NYR,20,43,63
K'Andre Miller,NYR,4,22,26
Ryan Lindgren,NYR,1,20,21
Jacob Trouba,NYR,1,26,27
Zachary Jones,NYR,1,12,13
Braden Schneider,NYR,2,15,17
Chad Ruhwedel,NYR,0,2,2
Alexander Ovechkin,WSH,29,36,65
Tom Wilson,WSH,17,24,41
Dylan Strome,WSH,33,43,76
Pierre-Luc Dubois,WSH,19,33,52
Andrew Mangiapane,WSH,12,29,41
Connor McMichael,WSH,15,21,36
Sonny Milano,WSH,14,19,33
Hendrix Lapierre,WSH,11,8,19
Taylor Raddysh,WSH,10,14,24
Nic Dowd,WSH,23,15,38
Aliaksi Protas,WSH,5,17,22
Brandon Duhaime,WSH,5,8,13
TJ Oshie,WSH,0,1,1
John Carlson,WSH,22,33,55
Jakob Chychrun,WSH,11,17,28
