Name,Team,Goals,Assists,Points
Eric Robinson,CAR,1,2,3
Ryan Suzuki,CAR,0,1,1
Jaccob Slavin,CAR,3,30,33
Brent Burns,CAR,15,23,38
Sean Walker,CAR,4,31,35
Dimitry Orlov,CAR,5,24,29
Shayne Gostisbehere,CAR,3,15,18
Jalen Chatfield,CAR,1,13,14
Boone Jenner,CBJ,31,23,54
Kirill Marchenko,CBJ,24,19,43
Sean Monahan,CBJ,32,32,64
Adam Fantilli,CBJ,20,39,59
Kent Johnson,CBJ,12,36,48
Yegor Chinakhov,CBJ,22,9,31
Cole Sillinger,CBJ,8,19,27
James van Riemsdyk,CBJ,7,25,32
Dimitri Voronkov,CBJ,17,21,38
Sean Kuraly,CBJ,6,4,10
Mathieu Olivier,CBJ,8,7,15
Justin Danforth,CBJ,9,9,18
Gavin Brindley,CBJ,2,1,3
Zach Werenski,CBJ,18,33,51
Ivan Provorov,CBJ,3,11,14
Jordan Harris,CBJ,2,25,27
Damon Severson,CBJ,5,29,34
Erik Gudbranson,CBJ,0,4,4
Jack Johnson,CBJ,1,8,9
Travis Konecny,PHI,31,50,81
Owen Tippett,PHI,32,33,65
Tyson Foerster,PHI,21,20,41
Matvei Michkov,PHI,25,20,45
Sean Couturier,PHI,15,28,43
Joel Farabee,PHI,24,29,53
Scott Laughton,PHI,10,14,24
Morgan Frost,PHI,11,30,41
Noah Cates,PHI,9,8,17
Garnet Hathaway,PHI,9,15,24
Ryan Poehling,PHI,10,15,25
Bobby Brink,PHI,8,23,31
Nicolas Deslauriers,PHI,0,1,1
Travis Sanheim,PHI,14,34,48
Cam York,PHI,6,20,26
Nick Seeler,PHI,3,17,20
Jamie Drysdale,PHI,3,17,20
Erik Johnson,PHI,2,4,6
Rasmus Ristolainen,PHI,2,4,6
Sidney Crosby,PIT,39,60,99
Evgeni Malkin,PIT,49,39,88
Bryan Rust,PIT,32,40,72
Rickard Rakell,PIT,27,22,49
Michael Bunting,PIT,17,37,54
Drew O'Connor,PIT,22,31,53
Lars Eller,PIT,13,15,28
Kevin Hayes,PIT,11,26,37
Cody Glass,PIT,6,17,23
Noel Acciari,PIT,10,8,18
Blake Lizotte,PIT,5,9,14
Anthony Beauvilier,PIT,8,13,21
Jesse Puljujarvi,PIT,0,4,4
Erik Karlsson,PIT,17,59,76
Kris Letang,PIT,18,21,39
Marcus Pettersson,PIT,1,28,29
Ryan Graves,PIT,2,11,13
Matt Grzelyck,PIT,0,12,12
Sebastian Aho,PIT,2,7,9
Jack Hughes,NJ,34,49,83
Nico Hischier,NJ,37,52,89
Jesper Bratt,NJ,45,52,97
Timo Meier,NJ,38,26,64
Dawson Mercer,NJ,28,36,64
Erik Haula,NJ,11,33,44
Ondrej Palat,NJ,12,35,47
Tomas Tatar,NJ,18,18,36
