Home Team,Home Goalie,Home Score,Home Shots,Away Team,Away Goalie,Away Score,Away Shots,Overtime?,Winner
FLA,Sergei Bobrovsky,1,33,WSH,Logan Thompson,1,23,False,WSH
NJ,Jake Allen,2,25,NSH,Scott Wedgewood,2,36,False,NSH
NYR,Igor Shesterkin,1,33,STL,Jordan Binnington,4,32,True,STL
PHI,Ivan Fedotov,3,33,VGK,Ilya Samsonov,4,38,True,VGK
CAR,Frederik Andersen,2,32,DAL,Casey DeSmith,1,25,True,CAR
OTT,Linus Ullmark,3,27,CGY,Dan Vladar,2,27,True,OTT
NYI,Semyon Varlamov,3,30,DET,Cam Talbot,1,27,True,NYI
MIN,Marc-Andre Fleury,1,19,WPG,Kaapo Kahkonen,2,17,True,WPG
ANA,John Gibson,1,27,SEA,Philipp Grubauer,3,24,True,SEA
SJ,Mackenzie Blackwood,3,23,LA,David Rittich,2,28,True,SJ
BOS,Brandon Bussi,2,23,VAN,Thatcher Demko,2,30,False,VAN
MTL,Sam Montembeault,1,22,UT,Connor Ingram,1,33,False,UT
BUF,Devon Levi,1,25,MIN,Filip Gustavsson,7,31,True,MIN
NJ,Jake Allen,4,38,STL,Joel Hofer,1,30,True,NJ
CAR,Frederik Andersen,3,28,NYR,Igor Shesterkin,2,24,True,CAR
DET,Cam Talbot,1,28,CGY,Dustin Wolf,4,32,True,CGY
TB,Andrei Vasilevskiy,0,22,WSH,Charlie Lindgren,9,34,True,WSH
FLA,Sergei Bobrovsky,1,24,TOR,Joeseph Woll,3,22,True,TOR
NYI,Ilya Sorokin,5,32,BOS,Joonas Korpisalo,0,33,True,NYI
PIT,Tristan Jarry,3,19,VAN,Thatcher Demko,2,34,True,PIT
CBJ,Daniil Tarasov,9,36,MTL,Caiden Primeau,7,35,True,CBJ
NSH,Juuse Saros,4,34,PHI,Samuel Ersson,2,33,True,NSH
CHI,Petr Mrazek,4,20,DAL,Jake Oettinger,5,34,True,DAL
COL,Alexandar Georgiev,6,32,VGK,Ilya Samsonov,1,31,True,COL
LA,Darcy Kuemper,3,20,WPG,Connor Hellebuyck,4,25,True,WPG
SEA,Philipp Grubauer,4,26,ANA,John Gibson,1,27,True,SEA
SJ,Yaroslav Askarov,0,19,OTT,Linus Ullmark,2,34,True,OTT
PHI,Ivan Fedotov,1,22,NYR,Jonathan Quick,4,23,True,NYR
MIN,Filip Gustavsson,2,23,CHI,Laurent Brossoit,0,16,True,MIN
BUF,Ukko-Pekka Luukkonen,2,19,VAN,Thatcher Demko,2,30,False,VAN
DET,Ville Husso,0,19,NJ,Jake Allen,1,27,True,NJ
WSH,Charlie Lindgren,4,33,NYI,Ilya Sorokin,3,24,True,WSH
CAR,Frederik Andersen,2,31,FLA,Sergei Bobrovsky,2,22,False,FLA
CBJ,Daniil Tarasov,4,22,CGY,Dan Vladar,5,34,True,CGY
NSH,Juuse Saros,4,31,TB,Jonas Johansson,4,33,False,TB
ANA,John Gibson,6,28,LA,Darcy Kuemper,2,33,True,ANA
SJ,Mackenzie Blackwood,4,20,SEA,Philipp Grubauer,3,36,True,SJ
BOS,Joonas Korpisalo,3,28,PIT,Tristan Jarry,2,30,True,BOS
DAL,Casey DeSmith,1,30,COL,Alexandar Georgiev,2,25,True,COL
VGK,Adin Hill,2,25,WPG,Connor Hellebuyck,2,20,False,WPG
UT,Karel Vejmelka,4,30,EDM,Stuart Skinner,4,28,False,EDM
NYR,Igor Shesterkin,4,36,MTL,Sam Montembeault,2,30,True,NYR
FLA,Sergei Bobrovsky,4,29,CAR,Pyotr Kochetkov,3,24,True,FLA
TB,Jonas Johansson,1,23,TOR,Joeseph Woll,4,30,True,TOR
NJ,Jacob Markstrom,1,32,WSH,Logan Thompson,2,34,True,WSH
PIT,Alex Nedelkovich,3,23,CGY,Dan Vladar,5,36,True,CGY
STL,Joel Hofer,3,20,PHI,Samuel Ersson,1,28,True,STL
LA,Darcy Kuemper,2,23,OTT,Linus Ullmark,1,21,True,LA
NYI,Semyon Varlamov,2,32,BUF,Ukko-Pekka Luukkonen,2,23,False,BUF
MIN,Marc-Andre Fleury,1,26,NSH,Juuse Saros,3,25,True,NSH
COL,Alexandar Georgiev,1,33,EDM,Stuart Skinner,2,25,True,EDM
VGK,Adin Hill,2,21,UT,Karel Vejmelka,7,29,True,UT
SEA,Joey Daccord,3,34,SJ,Yaroslav Askarov,1,18,True,SEA
DET,Cam Talbot,4,30,VAN,Thatcher Demko,3,22,True,DET
BOS,Joonas Korpisalo,3,36,MTL,Caiden Primeau,3,28,False,MTL
CHI,Laurent Brossoit,1,18,CBJ,Elvis Merzlikins,2,26,True,CBJ
DAL,Jake Oettinger,2,34,WPG,Connor Hellebuyck,2,24,False,WPG
ANA,John Gibson,2,27,OTT,Anton Forsberg,5,26,True,OTT
NYR,Igor Shesterkin,3,25,NJ,Jake Allen,4,28,True,NJ
TOR,Joeseph Woll,6,32,CHI,Petr Mrazek,2,28,True,TOR
UT,Connor Ingram,3,24,DAL,Casey DeSmith,3,35,False,DAL
BOS,Brandon Bussi,5,25,DET,Cam Talbot,1,20,True,BOS
BUF,Devon Levi,1,29,COL,Justus Annunen,5,26,True,COL
MTL,Caiden Primeau,3,31,NYI,Semyon Varlamov,1,33,True,MTL
PIT,Alex Nedelkovich,4,27,FLA,Sergei Bobrovsky,3,37,True,PIT
WSH,Charlie Lindgren,3,38,SJ,Mackenzie Blackwood,2,19,True,WSH
CAR,Frederik Andersen,3,27,SEA,Joey Daccord,4,21,True,SEA
MIN,Filip Gustavsson,1,20,VAN,Thatcher Demko,2,20,True,VAN
WPG,Connor Hellebuyck,0,21,STL,Jordan Binnington,4,26,True,STL
CGY,Dan Vladar,3,30,CBJ,Daniil Tarasov,5,19,True,CBJ
VGK,Adin Hill,1,23,EDM,Calvin Pickard,2,33,True,EDM
TOR,Joeseph Woll,3,26,NSH,Juuse Saros,3,26,False,NSH
CHI,Petr Mrazek,2,18,BOS,Joonas Korpisalo,4,27,True,BOS
ANA,Lukas Dostal,3,29,VGK,Adin Hill,7,34,True,VGK
LA,David Rittich,1,30,DAL,Casey DeSmith,4,34,True,DAL
BUF,Ukko-Pekka Luukkonen,4,23,WPG,Connor Hellebuyck,2,20,True,BUF
MTL,Caiden Primeau,1,18,NSH,Juuse Saros,3,40,True,NSH
OTT,Linus Ullmark,3,20,DET,Cam Talbot,4,34,True,DET
TB,Andrei Vasilevskiy,2,28,SJ,Mackenzie Blackwood,3,21,True,SJ
PHI,Samuel Ersson,1,22,FLA,Sergei Bobrovsky,4,28,True,FLA
CAR,Frederik Andersen,4,33,COL,Justus Annunen,2,27,True,CAR
NYI,Ilya Sorokin,4,31,SEA,Joey Daccord,2,31,True,NYI
CGY,Dustin Wolf,3,28,STL,Jordan Binnington,3,24,False,STL
EDM,Calvin Pickard,3,30,CBJ,Elvis Merzlikins,5,18,True,CBJ
TOR,Anthony Stolarz,4,31,WSH,Logan Thompson,1,29,True,TOR
NJ,Jake Allen,6,34,SEA,Philipp Grubauer,2,31,True,NJ
NYR,Jonathan Quick,3,30,PIT,Alex Nedelkovich,4,31,True,PIT
VAN,Arturs Silovs,2,26,CBJ,Daniil Tarasov,1,25,True,VAN
VGK,Ilya Samsonov,1,31,DAL,Jake Oettinger,3,35,True,DAL
ANA,John Gibson,1,17,MIN,Marc-Andre Fleury,4,28,True,MIN
BOS,Joonas Korpisalo,5,22,PHI,Samuel Ersson,2,25,True,BOS
BUF,Devon Levi,5,29,UT,Connor Ingram,2,19,True,BUF
CHI,Petr Mrazek,1,30,WPG,Connor Hellebuyck,3,28,True,WPG
NYI,Semyon Varlamov,2,25,CAR,Frederik Andersen,3,24,True,CAR
FLA,Spencer Knight,4,35,SJ,Yaroslav Askarov,1,21,True,FLA
MTL,Sam Montembeault,3,27,WSH,Charlie Lindgren,1,27,True,MTL
OTT,Anton Forsberg,1,21,NSH,Juuse Saros,2,32,True,NSH
DET,Ville Husso,2,23,COL,Justus Annunen,3,30,True,COL
PIT,Tristan Jarry,4,30,TOR,Joeseph Woll,5,39,True,TOR
LA,Darcy Kuemper,3,20,MIN,Marc-Andre Fleury,1,19,True,LA
EDM,Stuart Skinner,5,44,STL,Joel Hofer,6,22,True,STL
NYR,Igor Shesterkin,1,25,SEA,Joey Daccord,5,28,True,SEA
VAN,Thatcher Demko,1,26,TB,Andrei Vasilevskiy,0,28,True,VAN
OTT,Anton Forsberg,0,30,NYI,Semyon Varlamov,1,21,True,NYI
WPG,Connor Hellebuyck,8,35,CBJ,Daniil Tarasov,2,23,True,WPG
NJ,Jacob Markstrom,4,29,COL,Alexandar Georgiev,5,40,True,COL
PHI,Samuel Ersson,3,32,UT,Karel Vejmelka,1,21,True,PHI
DAL,Jake Oettinger,2,23,CGY,Dan Vladar,2,23,False,CGY
BUF,Ukko-Pekka Luukkonen,3,32,DET,Ville Husso,3,27,False,DET
NYR,Igor Shesterkin,5,29,CHI,Laurent Brossoit,2,29,True,NYR
MTL,Sam Montembeault,5,33,ANA,Lukas Dostal,1,20,True,MTL
NJ,Jake Allen,3,24,TOR,Anthony Stolarz,4,31,True,TOR
PIT,Tristan Jarry,2,25,COL,Alexandar Georgiev,3,32,True,COL
CAR,Pyotr Kochetkov,3,26,SJ,Mackenzie Blackwood,3,15,False,SJ
CBJ,Daniil Tarasov,2,21,PHI,Samuel Ersson,7,33,True,PHI
NYI,Semyon Varlamov,3,27,LA,Darcy Kuemper,0,24,True,NYI
NSH,Scott Wedgewood,4,32,CGY,Dan Vladar,1,29,True,NSH
WPG,Kaapo Kahkonen,1,22,BOS,Joonas Korpisalo,3,29,True,BOS
EDM,Calvin Pickard,2,30,TB,Andrei Vasilevskiy,5,32,True,TB
UT,Connor Ingram,2,25,MIN,Marc-Andre Fleury,6,21,True,MIN
VAN,Arturs Silovs,0,31,STL,Jordan Binnington,1,20,True,STL
SEA,Joey Daccord,5,26,FLA,Sergei Bobrovsky,3,28,True,SEA
BUF,Devon Levi,1,25,NYR,Jonathan Quick,4,35,True,NYR
OTT,Linus Ullmark,5,34,ANA,John Gibson,1,23,True,OTT
TOR,Anthony Stolarz,4,26,ANA,John Gibson,4,20,False,ANA
MTL,Sam Montembeault,3,26,PIT,Tristan Jarry,4,40,True,PIT
NJ,Jacob Markstrom,1,30,LA,David Rittich,4,26,True,LA
PHI,Samuel Ersson,5,33,DET,Ville Husso,3,18,True,PHI
CBJ,Elvis Merzlikins,3,27,WSH,Charlie Lindgren,4,35,True,WSH
NYI,Ilya Sorokin,1,26,CHI,Petr Mrazek,2,30,True,CHI
STL,Joel Hofer,4,40,SJ,Mackenzie Blackwood,3,17,True,STL
DAL,Jake Oettinger,2,26,NSH,Juuse Saros,1,27,True,DAL
MIN,Marc-Andre Fleury,1,18,EDM,Stuart Skinner,0,28,True,MIN
WPG,Kaapo Kahkonen,4,30,VGK,Adin Hill,3,30,True,WPG
COL,Justus Annunen,4,32,UT,Connor Ingram,2,32,True,COL
CGY,Dustin Wolf,3,22,TB,Jonas Johansson,2,27,True,CGY
VAN,Thatcher Demko,4,30,FLA,Spencer Knight,5,31,True,FLA
SEA,Joey Daccord,2,21,BOS,Joonas Korpisalo,2,22,False,BOS
CAR,Pyotr Kochetkov,0,32,OTT,Anton Forsberg,5,22,True,OTT
NJ,Jake Allen,2,35,CHI,Petr Mrazek,3,25,True,CHI
NYR,Jonathan Quick,2,30,LA,Darcy Kuemper,2,22,False,LA
MIN,Marc-Andre Fleury,1,21,PHI,Samuel Ersson,0,19,True,MIN
EDM,Stuart Skinner,2,40,VGK,Adin Hill,3,26,True,VGK
OTT,Linus Ullmark,3,23,PIT,Tristan Jarry,2,21,True,OTT
DET,Ville Husso,1,20,TOR,Anthony Stolarz,2,28,True,TOR
WSH,Logan Thompson,1,28,BUF,Ukko-Pekka Luukkonen,4,23,True,BUF
CBJ,Elvis Merzlikins,3,34,ANA,John Gibson,1,37,True,CBJ
WPG,Connor Hellebuyck,2,26,MTL,Sam Montembeault,2,28,False,MTL
DAL,Casey DeSmith,3,24,STL,Joel Hofer,5,23,True,STL
COL,Alexandar Georgiev,7,35,NSH,Scott Wedgewood,2,31,True,COL
CGY,Dan Vladar,3,27,FLA,Sergei Bobrovsky,2,26,True,CGY
VAN,Thatcher Demko,2,30,BOS,Joonas Korpisalo,2,29,False,BOS
SJ,Mackenzie Blackwood,0,20,UT,Karel Vejmelka,1,19,True,UT
SEA,Joey Daccord,4,27,TB,Andrei Vasilevskiy,0,23,True,SEA
CHI,Petr Mrazek,2,26,NYI,Semyon Varlamov,4,33,True,NYI
TOR,Joeseph Woll,4,26,BUF,Ukko-Pekka Luukkonen,1,24,True,TOR
CAR,Pyotr Kochetkov,4,43,CBJ,Daniil Tarasov,1,20,True,CAR
STL,Joel Hofer,4,32,NYR,Jonathan Quick,4,26,False,NYR
MIN,Filip Gustavsson,4,29,VGK,Adin Hill,2,29,True,MIN
DAL,Jake Oettinger,3,34,WSH,Charlie Lindgren,2,29,True,DAL
EDM,Stuart Skinner,3,35,FLA,Sergei Bobrovsky,3,27,False,FLA
VAN,Thatcher Demko,1,21,COL,Alexandar Georgiev,3,23,True,COL
MTL,Caiden Primeau,1,18,BUF,Devon Levi,4,27,True,BUF
TB,Andrei Vasilevskiy,3,27,CBJ,Daniil Tarasov,1,23,True,TB
PIT,Tristan Jarry,3,23,LA,David Rittich,4,32,True,LA
CAR,Frederik Andersen,1,29,NYI,Ilya Sorokin,7,27,True,NYI
STL,Joel Hofer,2,24,NJ,Jacob Markstrom,6,36,True,NJ
NSH,Juuse Saros,1,28,NYR,Jonathan Quick,4,22,True,NYR
CHI,Petr Mrazek,0,17,WSH,Logan Thompson,3,20,True,WSH
CGY,Dan Vladar,1,26,BOS,Joonas Korpisalo,4,24,True,BOS
SEA,Joey Daccord,0,29,OTT,Linus Ullmark,6,28,True,OTT
SJ,Yaroslav Askarov,2,25,WPG,Connor Hellebuyck,5,30,True,WPG
DET,Ville Husso,3,32,PHI,Samuel Ersson,5,26,True,PHI
DAL,Jake Oettinger,4,33,TOR,Joeseph Woll,2,23,True,DAL
MIN,Filip Gustavsson,3,22,FLA,Sergei Bobrovsky,6,30,True,FLA
UT,Connor Ingram,3,25,VAN,Thatcher Demko,4,26,True,VAN
ANA,Lukas Dostal,3,22,WPG,Kaapo Kahkonen,3,34,False,WPG
TB,Andrei Vasilevskiy,3,33,STL,Jordan Binnington,1,23,True,TB
PHI,Ivan Fedotov,1,27,LA,Darcy Kuemper,3,22,True,LA
CBJ,Daniil Tarasov,3,33,NJ,Jacob Markstrom,7,42,True,NJ
NSH,Juuse Saros,3,39,PIT,Tristan Jarry,5,25,True,PIT
CHI,Laurent Brossoit,1,22,SEA,Joey Daccord,3,31,True,SEA
CGY,Dustin Wolf,5,32,OTT,Linus Ullmark,3,20,True,CGY
EDM,Calvin Pickard,4,36,BOS,Joonas Korpisalo,2,34,True,EDM
VGK,Ilya Samsonov,2,32,VAN,Thatcher Demko,2,35,False,VAN
SJ,Mackenzie Blackwood,3,18,COL,Alexandar Georgiev,4,36,True,COL
BUF,Devon Levi,3,25,TOR,Anthony Stolarz,7,39,True,TOR
DET,Cam Talbot,1,18,MTL,Sam Montembeault,1,31,False,MTL
FLA,Sergei Bobrovsky,4,31,STL,Joel Hofer,3,29,True,FLA
WSH,Charlie Lindgren,1,18,CAR,Pyotr Kochetkov,6,32,True,CAR
DAL,Jake Oettinger,4,38,NYR,Igor Shesterkin,1,21,True,DAL
MIN,Filip Gustavsson,3,26,UT,Connor Ingram,2,18,True,MIN
ANA,Lukas Dostal,2,21,COL,Alexandar Georgiev,5,45,True,COL
NSH,Juuse Saros,1,26,LA,Darcy Kuemper,5,22,True,LA
CGY,Dan Vladar,1,18,CHI,Petr Mrazek,3,23,True,CHI
EDM,Calvin Pickard,4,31,SJ,Mackenzie Blackwood,1,15,True,EDM
BOS,Brandon Bussi,1,33,BUF,Ukko-Pekka Luukkonen,3,32,True,BUF
TOR,Anthony Stolarz,3,28,NYI,Ilya Sorokin,3,23,False,NYI
MTL,Caiden Primeau,2,31,DET,Cam Talbot,4,35,True,DET
NJ,Jake Allen,4,39,PIT,Alex Nedelkovich,0,24,True,NJ
PHI,Samuel Ersson,5,32,CBJ,Daniil Tarasov,3,32,True,PHI
WPG,Connor Hellebuyck,3,25,MIN,Marc-Andre Fleury,2,19,True,WPG
VAN,Arturs Silovs,2,22,OTT,Linus Ullmark,4,20,True,OTT
VGK,Ilya Samsonov,2,28,SEA,Philipp Grubauer,6,30,True,SEA
NYR,Jonathan Quick,0,26,CAR,Pyotr Kochetkov,1,23,True,CAR
TB,Andrei Vasilevskiy,2,20,FLA,Spencer Knight,2,30,False,FLA
WSH,Charlie Lindgren,3,26,LA,David Rittich,0,25,True,WSH
UT,Karel Vejmelka,1,19,ANA,Lukas Dostal,2,27,True,ANA
COL,Alexandar Georgiev,1,23,SEA,Joey Daccord,1,20,False,SEA
EDM,Stuart Skinner,2,26,OTT,Linus Ullmark,3,28,True,OTT
NJ,Jake Allen,3,31,NYR,Igor Shesterkin,1,26,True,NJ
TOR,Joeseph Woll,0,25,WPG,Connor Hellebuyck,2,30,True,WPG
BOS,Brandon Bussi,2,21,WSH,Logan Thompson,6,22,True,WSH
DET,Cam Talbot,2,20,STL,Jordan Binnington,5,22,True,STL
FLA,Sergei Bobrovsky,3,31,TB,Andrei Vasilevskiy,3,28,False,TB
PIT,Tristan Jarry,3,36,PHI,Ivan Fedotov,1,19,True,PIT
CBJ,Elvis Merzlikins,4,28,MTL,Caiden Primeau,3,23,True,CBJ
NYI,Semyon Varlamov,3,26,BUF,Ukko-Pekka Luukkonen,3,19,False,BUF
NSH,Scott Wedgewood,0,21,CAR,Pyotr Kochetkov,4,36,True,CAR
MIN,Filip Gustavsson,3,34,CHI,Laurent Brossoit,0,18,True,MIN
VAN,Thatcher Demko,2,21,SJ,Mackenzie Blackwood,5,25,True,SJ
UT,Connor Ingram,4,23,DAL,Casey DeSmith,2,23,True,UT
VGK,Ilya Samsonov,2,23,ANA,John Gibson,1,21,True,VGK
BUF,Devon Levi,1,34,CHI,Petr Mrazek,5,31,True,CHI
DET,Ville Husso,0,25,TOR,Anthony Stolarz,4,29,True,TOR
NJ,Jake Allen,4,28,CAR,Frederik Andersen,3,32,True,NJ
CBJ,Elvis Merzlikins,2,25,BOS,Joonas Korpisalo,4,37,True,BOS
STL,Jordan Binnington,4,19,NSH,Scott Wedgewood,4,38,False,NSH
DAL,Jake Oettinger,4,32,MIN,Filip Gustavsson,4,23,False,MIN
UT,Karel Vejmelka,1,28,COL,Alexandar Georgiev,1,23,False,COL
SJ,Yaroslav Askarov,5,21,VGK,Ilya Samsonov,5,37,False,VGK
FLA,Sergei Bobrovsky,6,39,MTL,Sam Montembeault,1,25,True,FLA
VAN,Thatcher Demko,0,21,SEA,Joey Daccord,1,24,True,SEA
ANA,John Gibson,0,19,PHI,Samuel Ersson,2,26,True,PHI
LA,David Rittich,1,24,EDM,Calvin Pickard,6,34,True,EDM
BOS,Brandon Bussi,3,33,CBJ,Elvis Merzlikins,1,20,True,BOS
TOR,Joeseph Woll,2,31,WSH,Charlie Lindgren,2,29,False,WSH
TB,Andrei Vasilevskiy,5,20,NYR,Igor Shesterkin,2,34,True,TB
CAR,Frederik Andersen,4,27,NJ,Jacob Markstrom,1,23,True,CAR
WPG,Connor Hellebuyck,4,21,OTT,Linus Ullmark,1,28,True,WPG
NYI,Semyon Varlamov,2,20,PIT,Tristan Jarry,5,30,True,PIT
SJ,Yaroslav Askarov,1,18,CGY,Dustin Wolf,5,24,True,CGY
CHI,Petr Mrazek,3,20,DAL,Casey DeSmith,3,33,False,DAL
ANA,Lukas Dostal,1,29,EDM,Stuart Skinner,5,46,True,EDM
DET,Cam Talbot,0,23,WSH,Charlie Lindgren,3,28,True,WSH
TB,Andrei Vasilevskiy,3,33,MTL,Caiden Primeau,5,29,True,MTL
PIT,Tristan Jarry,4,27,NYI,Ilya Sorokin,4,21,False,NYI
STL,Joel Hofer,2,25,BUF,Devon Levi,4,23,True,BUF
MIN,Marc-Andre Fleury,2,25,OTT,Anton Forsberg,2,18,False,OTT
VGK,Ilya Samsonov,6,20,CGY,Dan Vladar,0,22,True,VGK
LA,Darcy Kuemper,3,26,PHI,Samuel Ersson,1,22,True,LA
FLA,Sergei Bobrovsky,5,35,NYR,Igor Shesterkin,2,27,True,FLA
WPG,Connor Hellebuyck,4,28,NSH,Scott Wedgewood,2,24,True,WPG
SEA,Joey Daccord,3,30,UT,Connor Ingram,5,31,True,UT
WSH,Charlie Lindgren,3,29,BOS,Joonas Korpisalo,0,19,True,WSH
TOR,Anthony Stolarz,2,22,NYI,Ilya Sorokin,0,26,True,TOR
VGK,Ilya Samsonov,2,36,MTL,Caiden Primeau,1,18,True,VGK
CHI,Petr Mrazek,2,20,STL,Joel Hofer,4,28,True,STL
DET,Cam Talbot,4,34,PIT,Tristan Jarry,4,31,False,PIT
CBJ,Daniil Tarasov,2,17,CAR,Pyotr Kochetkov,4,44,True,CAR
DAL,Casey DeSmith,1,24,BUF,Ukko-Pekka Luukkonen,4,27,True,BUF
MIN,Marc-Andre Fleury,3,22,NSH,Juuse Saros,3,26,False,NSH
COL,Alexandar Georgiev,3,38,WPG,Connor Hellebuyck,3,27,False,WPG
ANA,John Gibson,1,25,NJ,Jacob Markstrom,3,45,True,NJ
SJ,Yaroslav Askarov,3,25,PHI,Ivan Fedotov,3,23,False,PHI
CGY,Dan Vladar,2,26,VAN,Thatcher Demko,4,29,True,VAN
EDM,Calvin Pickard,4,37,UT,Karel Vejmelka,4,34,False,UT
LA,David Rittich,2,22,NJ,Jacob Markstrom,2,24,False,NJ
FLA,Sergei Bobrovsky,2,23,CAR,Frederik Andersen,1,22,True,FLA
NYR,Igor Shesterkin,1,30,BOS,Brandon Bussi,3,26,True,BOS
WSH,Logan Thompson,2,26,MIN,Filip Gustavsson,2,27,False,MIN
CBJ,Daniil Tarasov,4,28,DET,Ville Husso,3,22,True,CBJ
NYI,Ilya Sorokin,3,25,TOR,Anthony Stolarz,0,22,True,NYI
DAL,Jake Oettinger,3,29,OTT,Anton Forsberg,1,19,True,DAL
WPG,Connor Hellebuyck,4,30,ANA,Lukas Dostal,5,31,True,ANA
COL,Alexandar Georgiev,3,25,BUF,Ukko-Pekka Luukkonen,3,25,False,BUF
CGY,Dustin Wolf,2,28,UT,Karel Vejmelka,3,21,True,UT
VGK,Adin Hill,2,30,PHI,Samuel Ersson,5,29,True,PHI
SEA,Joey Daccord,2,18,VAN,Arturs Silovs,2,24,False,VAN
SJ,Yaroslav Askarov,1,26,TB,Andrei Vasilevskiy,5,21,True,TB
FLA,Spencer Knight,3,39,PIT,Tristan Jarry,3,31,False,PIT
CHI,Petr Mrazek,5,30,MTL,Sam Montembeault,3,31,True,CHI
STL,Jordan Binnington,2,18,OTT,Linus Ullmark,2,28,False,OTT
EDM,Stuart Skinner,9,30,ANA,Lukas Dostal,0,18,True,EDM
VAN,Arturs Silovs,2,25,NSH,Juuse Saros,1,22,True,VAN
WSH,Charlie Lindgren,4,32,NYR,Igor Shesterkin,3,31,True,WSH
WPG,Connor Hellebuyck,5,25,DET,Ville Husso,3,21,True,WPG
SJ,Yaroslav Askarov,5,25,NJ,Jake Allen,6,39,True,NJ
TOR,Anthony Stolarz,0,25,BOS,Brandon Bussi,3,29,True,BOS
CAR,Pyotr Kochetkov,4,22,MIN,Filip Gustavsson,2,21,True,CAR
CBJ,Elvis Merzlikins,1,18,STL,Joel Hofer,7,38,True,STL
COL,Alexandar Georgiev,3,36,MTL,Sam Montembeault,3,23,False,MTL
CGY,Dustin Wolf,3,19,NSH,Juuse Saros,2,22,True,CGY
DAL,Casey DeSmith,2,30,UT,Connor Ingram,3,24,True,UT
LA,Darcy Kuemper,2,22,TB,Andrei Vasilevskiy,4,28,True,TB
VGK,Ilya Samsonov,3,36,BUF,Ukko-Pekka Luukkonen,2,33,True,VGK
SEA,Philipp Grubauer,1,26,EDM,Stuart Skinner,5,36,True,EDM
CHI,Laurent Brossoit,1,29,NYR,Jonathan Quick,2,26,True,NYR
BOS,Brandon Bussi,2,25,NYI,Semyon Varlamov,1,30,True,BOS
CAR,Frederik Andersen,2,37,PIT,Tristan Jarry,1,25,True,CAR
TOR,Anthony Stolarz,4,38,PHI,Ivan Fedotov,4,29,False,PHI
ANA,John Gibson,3,28,TB,Andrei Vasilevskiy,3,37,False,TB
BUF,Ukko-Pekka Luukkonen,1,22,WSH,Logan Thompson,4,31,True,WSH
MTL,Sam Montembeault,0,29,VAN,Arturs Silovs,0,22,False,VAN
COL,Justus Annunen,1,26,FLA,Spencer Knight,2,23,True,FLA
SEA,Philipp Grubauer,3,30,NJ,Jake Allen,4,34,True,NJ
BOS,Joonas Korpisalo,1,22,EDM,Stuart Skinner,4,37,True,EDM
DET,Ville Husso,3,19,OTT,Linus Ullmark,2,26,True,DET
NYR,Igor Shesterkin,4,19,DAL,Jake Oettinger,4,28,False,DAL
PHI,Samuel Ersson,2,32,TOR,Anthony Stolarz,2,31,False,TOR
PIT,Alex Nedelkovich,5,37,CBJ,Elvis Merzlikins,7,37,True,CBJ
MIN,Filip Gustavsson,1,24,STL,Jordan Binnington,3,21,True,STL
WPG,Connor Hellebuyck,0,22,NSH,Juuse Saros,2,29,True,NSH
ANA,John Gibson,3,19,CGY,Dan Vladar,6,38,True,CGY
SJ,Yaroslav Askarov,3,19,VGK,Adin Hill,0,33,True,SJ
WSH,Logan Thompson,3,31,VAN,Thatcher Demko,4,26,True,VAN
CHI,Petr Mrazek,0,23,COL,Alexandar Georgiev,4,35,True,COL
UT,Connor Ingram,3,25,FLA,Sergei Bobrovsky,1,27,True,UT
LA,David Rittich,1,18,CGY,Dan Vladar,0,28,True,LA
OTT,Linus Ullmark,2,27,BUF,Ukko-Pekka Luukkonen,1,21,True,OTT
TB,Andrei Vasilevskiy,4,20,BOS,Brandon Bussi,4,32,False,BOS
NYR,Igor Shesterkin,1,31,NJ,Jacob Markstrom,10,28,True,NJ
PHI,Samuel Ersson,4,20,DAL,Jake Oettinger,6,41,True,DAL
PIT,Alex Nedelkovich,4,32,EDM,Calvin Pickard,3,35,True,PIT
CAR,Frederik Andersen,3,31,TOR,Joeseph Woll,3,31,False,TOR
CBJ,Elvis Merzlikins,4,23,SEA,Philipp Grubauer,0,32,True,CBJ
STL,Joel Hofer,5,32,ANA,Lukas Dostal,4,29,True,STL
MIN,Filip Gustavsson,1,28,COL,Alexandar Georgiev,1,27,False,COL
VGK,Adin Hill,1,22,NYI,Ilya Sorokin,0,28,True,VGK
DET,Cam Talbot,3,18,CHI,Laurent Brossoit,0,30,True,DET
WSH,Charlie Lindgren,6,33,MTL,Caiden Primeau,2,18,True,WSH
CAR,Pyotr Kochetkov,3,32,VAN,Thatcher Demko,3,22,False,VAN
WPG,Kaapo Kahkonen,1,23,LA,Darcy Kuemper,2,25,True,LA
UT,Connor Ingram,5,21,SJ,Mackenzie Blackwood,1,23,True,UT
FLA,Spencer Knight,2,21,BOS,Brandon Bussi,2,24,False,BOS
BUF,Devon Levi,3,19,SEA,Joey Daccord,3,19,False,SEA
PIT,Alex Nedelkovich,2,24,OTT,Anton Forsberg,3,36,True,OTT
TOR,Joeseph Woll,0,21,VAN,Thatcher Demko,4,31,True,VAN
MTL,Caiden Primeau,3,30,DAL,Casey DeSmith,2,24,True,MTL
NJ,Jacob Markstrom,3,34,TB,Andrei Vasilevskiy,2,30,True,NJ
PHI,Samuel Ersson,5,28,ANA,John Gibson,4,32,True,PHI
CHI,Laurent Brossoit,3,30,EDM,Stuart Skinner,4,41,True,EDM
STL,Joel Hofer,3,27,CBJ,Elvis Merzlikins,5,36,True,CBJ
