Home Team,Home Goalie,Home Score,Home Shots,Away Team,Away Goalie,Away Score,Away Shots,Overtime?,Winner
FLA,Sergei Bobrovsky,1,21,VGK,Adin Hill,2,29,True,VGK
TOR,Joeseph Woll,1,25,NYR,Igor Shesterkin,1,32,False,NYR
NJ,Jacob Markstrom,4,34,WSH,Charlie Lindgren,4,21,False,WSH
NYI,Semyon Varlamov,4,28,MTL,Caiden Primeau,6,26,True,MTL
PHI,Samuel Ersson,1,23,VAN,Thatcher Demko,0,27,True,PHI
CBJ,Daniil Tarasov,1,17,MIN,Marc-Andre Fleury,1,18,False,MIN
STL,Jordan Binnington,3,19,CAR,Pyotr Kochetkov,7,28,True,CAR
CHI,Laurent Brossoit,1,34,BUF,Ukko-Pekka Luukkonen,1,28,False,BUF
UT,Connor Ingram,3,21,BOS,Joonas Korpisalo,1,26,True,UT
SEA,Joey Daccord,5,20,CGY,Dustin Wolf,0,28,True,SEA
WPG,Kaapo Kahkonen,4,18,PIT,Tristan Jarry,6,26,True,PIT
SJ,Yaroslav Askarov,1,25,COL,Alexandar Georgiev,3,28,True,COL
ANA,Lukas Dostal,2,30,LA,Darcy Kuemper,4,19,True,LA
TOR,Joeseph Woll,4,30,TB,Andrei Vasilevskiy,2,31,True,TOR
PHI,Samuel Ersson,1,23,WSH,Charlie Lindgren,3,26,True,WSH
FLA,Sergei Bobrovsky,0,31,MIN,Marc-Andre Fleury,0,20,False,MIN
NJ,Jake Allen,3,24,TB,Andrei Vasilevskiy,2,33,True,NJ
BUF,Ukko-Pekka Luukkonen,2,30,DAL,Casey DeSmith,2,36,False,DAL
MTL,Sam Montembeault,4,28,NYR,Jonathan Quick,3,38,True,MTL
CBJ,Daniil Tarasov,2,29,TOR,Joeseph Woll,2,32,False,TOR
NYI,Semyon Varlamov,6,31,DET,Ville Husso,4,31,True,NYI
STL,Jordan Binnington,3,28,WPG,Kaapo Kahkonen,1,18,True,STL
CHI,Laurent Brossoit,3,19,VAN,Arturs Silovs,2,21,True,CHI
NSH,Scott Wedgewood,0,30,BOS,Brandon Bussi,4,30,True,BOS
CGY,Dan Vladar,4,27,PIT,Tristan Jarry,3,23,True,CGY
EDM,Calvin Pickard,2,34,CAR,Frederik Andersen,2,25,False,CAR
UT,Karel Vejmelka,3,26,OTT,Linus Ullmark,2,25,True,UT
ANA,Lukas Dostal,1,23,SJ,Yaroslav Askarov,1,26,False,SJ
SEA,Joey Daccord,5,26,COL,Justus Annunen,3,23,True,SEA
VGK,Ilya Samsonov,3,32,LA,Darcy Kuemper,0,21,True,VGK
WSH,Charlie Lindgren,2,22,PHI,Samuel Ersson,0,27,True,WSH
BOS,Brandon Bussi,0,19,DAL,Jake Oettinger,4,34,True,DAL
TOR,Joeseph Woll,2,33,STL,Joel Hofer,3,28,True,STL
DET,Cam Talbot,3,22,NJ,Jacob Markstrom,4,34,True,NJ
TB,Andrei Vasilevskiy,1,21,MIN,Marc-Andre Fleury,1,21,False,MIN
NYR,Igor Shesterkin,3,23,FLA,Sergei Bobrovsky,1,33,True,NYR
CGY,Dan Vladar,2,17,CAR,Pyotr Kochetkov,4,24,True,CAR
UT,Karel Vejmelka,4,22,COL,Justus Annunen,3,29,True,UT
SEA,Joey Daccord,1,32,WPG,Connor Hellebuyck,3,30,True,WPG
LA,David Rittich,3,31,SJ,Yaroslav Askarov,1,24,True,LA
VGK,Adin Hill,2,27,OTT,Anton Forsberg,4,33,True,OTT
NJ,Jacob Markstrom,0,24,NYI,Semyon Varlamov,2,20,True,NYI
CHI,Petr Mrazek,1,25,NSH,Juuse Saros,2,23,True,NSH
EDM,Stuart Skinner,2,41,PIT,Tristan Jarry,1,24,True,EDM
BUF,Ukko-Pekka Luukkonen,3,33,DET,Ville Husso,5,28,True,DET
PHI,Samuel Ersson,6,27,MIN,Filip Gustavsson,4,27,True,PHI
LA,David Rittich,1,28,UT,Connor Ingram,3,26,True,UT
BOS,Brandon Bussi,0,19,TOR,Anthony Stolarz,5,26,True,TOR
MTL,Caiden Primeau,0,19,STL,Joel Hofer,4,20,True,STL
TB,Andrei Vasilevskiy,1,24,WSH,Logan Thompson,1,26,False,WSH
NYR,Igor Shesterkin,4,29,ANA,Lukas Dostal,4,18,False,ANA
CGY,Dustin Wolf,1,32,WPG,Connor Hellebuyck,2,20,True,WPG
NYI,Semyon Varlamov,1,23,FLA,Sergei Bobrovsky,2,26,True,FLA
NSH,Juuse Saros,5,31,CBJ,Elvis Merzlikins,3,28,True,NSH
DAL,Jake Oettinger,2,31,CHI,Petr Mrazek,4,23,True,CHI
VAN,Thatcher Demko,2,33,PIT,Tristan Jarry,2,24,False,PIT
VGK,Adin Hill,5,40,SJ,Mackenzie Blackwood,3,24,True,VGK
SEA,Joey Daccord,5,29,CAR,Pyotr Kochetkov,4,26,True,SEA
DET,Cam Talbot,1,21,EDM,Calvin Pickard,4,40,True,EDM
NJ,Jacob Markstrom,4,38,ANA,Lukas Dostal,1,34,True,NJ
PHI,Ivan Fedotov,3,34,MTL,Sam Montembeault,2,33,True,PHI
COL,Alexandar Georgiev,3,36,OTT,Linus Ullmark,4,24,True,OTT
BUF,Ukko-Pekka Luukkonen,3,26,FLA,Spencer Knight,3,35,False,FLA
TB,Andrei Vasilevskiy,4,30,NSH,Juuse Saros,4,23,False,NSH
CBJ,Elvis Merzlikins,3,32,EDM,Stuart Skinner,7,46,True,EDM
WPG,Connor Hellebuyck,3,18,TOR,Joeseph Woll,2,24,True,WPG
COL,Justus Annunen,1,23,CHI,Petr Mrazek,3,28,True,CHI
UT,Connor Ingram,3,32,SJ,Yaroslav Askarov,0,20,True,UT
VAN,Thatcher Demko,1,27,CAR,Pyotr Kochetkov,3,27,True,CAR
VGK,Ilya Samsonov,2,26,CGY,Dan Vladar,0,22,True,VGK
BOS,Brandon Bussi,2,22,PHI,Samuel Ersson,1,19,True,BOS
MTL,Caiden Primeau,3,18,SEA,Joey Daccord,2,19,True,MTL
OTT,Linus Ullmark,4,28,STL,Jordan Binnington,1,34,True,OTT
WSH,Charlie Lindgren,1,20,NYR,Igor Shesterkin,2,33,True,NYR
NYI,Semyon Varlamov,1,32,ANA,Lukas Dostal,4,23,True,ANA
PIT,Tristan Jarry,3,23,MIN,Filip Gustavsson,2,28,True,PIT
SJ,Yaroslav Askarov,1,19,LA,Darcy Kuemper,4,28,True,LA
CBJ,Elvis Merzlikins,1,30,NYI,Ilya Sorokin,3,30,True,NYI
DET,Ville Husso,2,23,WPG,Connor Hellebuyck,1,28,True,DET
COL,Alexandar Georgiev,4,24,TB,Andrei Vasilevskiy,3,31,True,COL
