Round,Home,Visitor,Winner,Games
East Round 1,CAR,TB,TB,5
East Round 1,FLA,WSH,FLA,5
East Round 1,OTT,DET,OTT,5
East Round 1,NJ,NYR,NYR,6
West Round 1,VAN,NSH,VAN,5
West Round 1,MIN,COL,COL,6
West Round 1,EDM,LA,LA,7
West Round 1,DAL,WPG,DAL,6
East Round 2,TB,FLA,FLA,7
East Round 2,OTT,NYR,OTT,5
West Round 2,VAN,COL,COL,6
West Round 2,LA,DAL,LA,7
East Conference Finals,FLA,OTT,FLA,4
West Conference Finals,COL,LA,LA,7
Cup Final,FLA,LA,FLA,5
