Team,Stat,25th Percentile,50th Percentile (Median),75th Percentile,Average Points
Seattle Kraken,Regulation,No data,No data,No data,
Edmonton Oilers,GF,263.0,272.0,282.0,
Edmonton Oilers,GA,248.0,258.0,267.0,
Edmonton Oilers,PTS,89.0,95.0,100.0,94.42235
Edmonton Oilers,Regulation,No data,No data,No data,
Calgary Flames,GF,237.0,246.0,255.0,
Calgary Flames,GA,257.0,267.0,276.0,
Calgary Flames,PTS,79.0,84.0,89.0,83.96405
Calgary Flames,Regulation,No data,No data,No data,
Anaheim Ducks,GF,219.0,228.0,237.0,
Anaheim Ducks,GA,281.0,291.0,300.0,
Anaheim Ducks,PTS,64.0,69.0,74.0,69.2801
Anaheim Ducks,Regulation,No data,No data,No data,
San Jose Sharks,GF,212.0,221.0,230.0,
San Jose Sharks,GA,296.0,306.0,315.0,
San Jose Sharks,PTS,57.0,62.0,67.0,62.42155
San Jose Sharks,Regulation,No data,No data,No data,
Carolina Hurricanes,GF,268.0,277.0,287.0,
Carolina Hurricanes,GA,219.0,228.0,237.0,
Carolina Hurricanes,PTS,99.0,104.0,110.0,104.31306565328266
Carolina Hurricanes,Regulation,No data,No data,No data,
New Jersey Devils,GF,268.0,277.0,286.0,
New Jersey Devils,GA,230.0,239.0,248.0,
New Jersey Devils,PTS,94.0,99.0,104.0,99.22461123056152
New Jersey Devils,Regulation,No data,No data,No data,
