date,away_team,home_team,visitor_goals,home_goals,visitor_sog,home_sog,visitor_goalie,home_goalie,regulation,winner
10/29/2024,stl,ott,,,,,,,,
10/29/2024,nyr,wsh,,,,,,,,
10/29/2024,ana,nyi,,,,,,,,
10/29/2024,min,pit,,,,,,,,
10/29/2024,la,sj,,,,,,,,
10/30/2024,nyi,cbj,,,,,,,,
10/30/2024,wpg,det,,,,,,,,
10/30/2024,tb,col,,,,,,,,
10/30/2024,cgy,ari,,,,,,,,
10/30/2024,nj,van,,,,,,,,
10/30/2024,vgk,la,,,,,,,,
10/31/2024,sea,tor,,,,,,,,
10/31/2024,stl,phi,,,,,,,,
10/31/2024,ana,pit,,,,,,,,
10/31/2024,mtl,wsh,,,,,,,,
10/31/2024,bos,car,,,,,,,,
10/31/2024,edm,nsh,,,,,,,,
10/31/2024,chi,sj,,,,,,,,
11/1/2024,nyi,buf,,,,,,,,
11/1/2024,ott,nyr,,,,,,,,
11/1/2024,wpg,cbj,,,,,,,,
11/1/2024,tb,min,,,,,,,,
11/1/2024,fla,dal,,,,,,,,
11/1/2024,nj,cgy,,,,,,,,
11/2/2024,bos,phi,,,,,,,,
11/2/2024,dal,fla,,,,,,,,
11/2/2024,cbj,wsh,,,,,,,,
11/2/2024,chi,la,,,,,,,,
11/2/2024,sea,ott,,,,,,,,
11/2/2024,buf,det,,,,,,,,
11/2/2024,mtl,pit,,,,,,,,
11/2/2024,tor,stl,,,,,,,,
11/2/2024,col,nsh,,,,,,,,
11/2/2024,ari,vgk,,,,,,,,
11/2/2024,van,sj,,,,,,,,
11/3/2024,nyi,nyr,,,,,,,,
11/3/2024,tb,wpg,,,,,,,,
11/3/2024,sea,bos,,,,,,,,
11/3/2024,wsh,car,,,,,,,,
11/3/2024,tor,min,,,,,,,,
11/3/2024,edm,cgy,,,,,,,,
11/3/2024,chi,ana,,,,,,,,
11/4/2024,la,nsh,,,,,,,,
11/4/2024,nj,edm,,,,,,,,
11/5/2024,ott,buf,,,,,,,,
11/5/2024,bos,tor,,,,,,,,
11/5/2024,cgy,mtl,,,,,,,,
11/5/2024,phi,car,,,,,,,,
11/5/2024,pit,nyi,,,,,,,,
11/5/2024,tb,stl,,,,,,,,
11/5/2024,la,min,,,,,,,,
11/5/2024,ari,wpg,,,,,,,,
11/5/2024,sea,col,,,,,,,,
11/5/2024,van,ana,,,,,,,,
11/5/2024,cbj,sj,,,,,,,,
11/6/2024,nsh,wsh,,,,,,,,
11/6/2024,det,chi,,,,,,,,
11/6/2024,vgk,edm,,,,,,,,
11/7/2024,cgy,bos,,,,,,,,
11/7/2024,nyi,ott,,,,,,,,
11/7/2024,phi,tb,,,,,,,,
11/7/2024,nsh,fla,,,,,,,,
11/7/2024,mtl,nj,,,,,,,,
11/7/2024,buf,nyr,,,,,,,,
11/7/2024,pit,car,,,,,,,,
11/7/2024,ari,stl,,,,,,,,
11/7/2024,chi,dal,,,,,,,,
11/7/2024,col,wpg,,,,,,,,
11/7/2024,van,la,,,,,,,,
11/7/2024,min,sj,,,,,,,,
11/8/2024,det,tor,,,,,,,,
11/8/2024,pit,wsh,,,,,,,,
11/8/2024,min,ana,,,,,,,,
11/8/2024,vgk,sea,,,,,,,,
11/9/2024,cgy,buf,,,,,,,,
11/9/2024,phi,fla,,,,,,,,
11/9/2024,ott,bos,,,,,,,,
11/9/2024,mtl,tor,,,,,,,,
11/9/2024,nyr,det,,,,,,,,
11/9/2024,wsh,stl,,,,,,,,
11/9/2024,dal,wpg,,,,,,,,
11/9/2024,nj,nyi,,,,,,,,
11/9/2024,ari,nsh,,,,,,,,
11/9/2024,car,col,,,,,,,,
11/9/2024,cbj,la,,,,,,,,
11/9/2024,edm,van,,,,,,,,
11/10/2024,sj,nj,,,,,,,,
11/10/2024,min,chi,,,,,,,,
11/10/2024,cbj,ana,,,,,,,,
11/11/2024,mtl,buf,,,,,,,,
11/11/2024,sj,phi,,,,,,,,
11/11/2024,dal,pit,,,,,,,,
11/11/2024,la,cgy,,,,,,,,
11/11/2024,nsh,col,,,,,,,,
11/11/2024,car,vgk,,,,,,,,
11/12/2024,ott,tor,,,,,,,,
11/12/2024,nj,fla,,,,,,,,
11/12/2024,wpg,nyr,,,,,,,,
11/12/2024,bos,stl,,,,,,,,
11/12/2024,nyi,edm,,,,,,,,
11/12/2024,cgy,van,,,,,,,,
11/12/2024,cbj,sea,,,,,,,,
11/13/2024,det,pit,,,,,,,,
11/13/2024,tor,wsh,,,,,,,,
11/13/2024,car,ari,,,,,,,,
11/13/2024,la,col,,,,,,,,
11/13/2024,vgk,ana,,,,,,,,
11/14/2024,stl,buf,,,,,,,,
11/14/2024,phi,ott,,,,,,,,
11/14/2024,wpg,tb,,,,,,,,
11/14/2024,nj,fla,,,,,,,,
11/14/2024,sj,nyr,,,,,,,,
11/14/2024,bos,dal,,,,,,,,
11/14/2024,mtl,min,,,,,,,,
11/14/2024,nsh,edm,,,,,,,,
11/14/2024,nyi,van,,,,,,,,
11/14/2024,chi,sea,,,,,,,,
11/15/2024,pit,cbj,,,,,,,,
11/15/2024,wsh,col,,,,,,,,
11/15/2024,nsh,cgy,,,,,,,,
11/15/2024,vgk,ari,,,,,,,,
11/15/2024,det,ana,,,,,,,,
11/16/2024,stl,bos,,,,,,,,
11/16/2024,nyi,sea,,,,,,,,
11/16/2024,edm,tor,,,,,,,,
11/16/2024,cbj,mtl,,,,,,,,
11/16/2024,nj,tb,,,,,,,,
11/16/2024,wpg,fla,,,,,,,,
11/16/2024,buf,phi,,,,,,,,
11/16/2024,sj,pit,,,,,,,,
11/16/2024,ott,car,,,,,,,,
11/16/2024,dal,min,,,,,,,,
11/16/2024,det,la,,,,,,,,
11/16/2024,chi,van,,,,,,,,
11/17/2024,stl,car,,,,,,,,
11/17/2024,nsh,van,,,,,,,,
11/17/2024,wsh,vgk,,,,,,,,
11/17/2024,nyr,sea,,,,,,,,
11/18/2024,cbj,bos,,,,,,,,
11/18/2024,col,phi,,,,,,,,
11/18/2024,edm,mtl,,,,,,,,
11/18/2024,ana,dal,,,,,,,,
11/18/2024,wsh,ari,,,,,,,,
11/18/2024,det,sj,,,,,,,,
11/19/2024,edm,ott,,,,,,,,
11/19/2024,tb,pit,,,,,,,,
11/19/2024,min,stl,,,,,,,,
11/19/2024,fla,wpg,,,,,,,,
11/19/2024,ana,chi,,,,,,,,
11/19/2024,nyi,cgy,,,,,,,,
11/19/2024,nyr,van,,,,,,,,
11/20/2024,vgk,tor,,,,,,,,
11/20/2024,car,phi,,,,,,,,
11/20/2024,sj,dal,,,,,,,,
11/20/2024,nsh,sea,,,,,,,,
11/20/2024,buf,la,,,,,,,,
11/21/2024,ari,bos,,,,,,,,
11/21/2024,vgk,ott,,,,,,,,
11/21/2024,nyi,det,,,,,,,,
11/21/2024,car,nj,,,,,,,,
11/21/2024,col,wsh,,,,,,,,
11/21/2024,tb,cbj,,,,,,,,
11/21/2024,sj,stl,,,,,,,,
11/21/2024,fla,chi,,,,,,,,
11/21/2024,nyr,cgy,,,,,,,,
11/21/2024,min,edm,,,,,,,,
11/22/2024,wpg,pit,,,,,,,,
11/22/2024,buf,ana,,,,,,,,
11/23/2024,chi,phi,,,,,,,,
11/23/2024,min,cgy,,,,,,,,
11/23/2024,sea,la,,,,,,,,
11/23/2024,col,fla,,,,,,,,
11/23/2024,vgk,mtl,,,,,,,,
11/23/2024,van,ott,,,,,,,,
11/23/2024,bos,det,,,,,,,,
11/23/2024,dal,tb,,,,,,,,
11/23/2024,ari,pit,,,,,,,,
11/23/2024,nj,wsh,,,,,,,,
11/23/2024,car,cbj,,,,,,,,
11/23/2024,wpg,nsh,,,,,,,,
11/23/2024,stl,nyi,,,,,,,,
11/23/2024,buf,sj,,,,,,,,
11/23/2024,nyr,edm,,,,,,,,
11/24/2024,ari,tor,,,,,,,,
11/25/2024,col,tb,,,,,,,,
11/25/2024,wsh,fla,,,,,,,,
11/25/2024,nsh,nj,,,,,,,,
11/25/2024,stl,nyr,,,,,,,,
11/25/2024,vgk,phi,,,,,,,,
11/25/2024,dal,car,,,,,,,,
